기준연월,지역명,검색량(건)
202103,경상북도 영주시 ,5732
202104,경상북도 영주시 ,8185
202105,경상북도 영주시 ,13590
202106,경상북도 영주시 ,10145
202107,경상북도 영주시 ,7434
202108,경상북도 영주시 ,8148
202109,경상북도 영주시 ,9178
202110,경상북도 영주시 ,11099
202111,경상북도 영주시 ,11086
202112,경상북도 영주시 ,11803
202201,경상북도 영주시 ,8322
202202,경상북도 영주시 ,6263
202203,경상북도 영주시 ,6091
202204,경상북도 영주시 ,7115
202205,경상북도 영주시 ,9096
202206,경상북도 영주시 ,8712
202207,경상북도 영주시 ,9015
202208,경상북도 영주시 ,12019
202209,경상북도 영주시 ,12154
202210,경상북도 영주시 ,11002
202211,경상북도 영주시 ,9991
202212,경상북도 영주시 ,10433
202301,경상북도 영주시 ,9136
202302,경상북도 영주시 ,8025
202303,경상북도 영주시 ,9763
202304,경상북도 영주시 ,10723
202305,경상북도 영주시 ,11996
202306,경상북도 영주시 ,11655
202307,경상북도 영주시 ,15603
202308,경상북도 영주시 ,12712
202309,경상북도 영주시 ,10669
202310,경상북도 영주시 ,13037
202311,경상북도 영주시 ,11390
202312,경상북도 영주시 ,11207
202401,경상북도 영주시 ,11698
202402,경상북도 영주시 ,10114
202403,경상북도 영주시 ,9985
