기준연월,목적지 유형,목적지 검색량
202103,전체,72860
202103,숙박,4137
202103,음식,35193
202103,기타관광,3433
202103,쇼핑,3754
202103,문화관광,14517
202103,역사관광,4205
202103,자연관광,2965
202103,체험관광,443
202103,레저스포츠,4213
202104,전체,85110
202104,숙박,4602
202104,음식,37992
202104,기타관광,5853
202104,쇼핑,3793
202104,문화관광,15964
202104,역사관광,6446
202104,자연관광,4080
202104,체험관광,416
202104,레저스포츠,5964
202105,전체,96891
202105,숙박,5718
202105,음식,44057
202105,기타관광,6551
202105,쇼핑,4091
202105,문화관광,18211
202105,역사관광,6776
202105,자연관광,5001
202105,체험관광,136
202105,레저스포츠,6350
202106,전체,85115
202106,숙박,6105
202106,음식,40295
202106,기타관광,4420
202106,쇼핑,3710
202106,문화관광,15537
202106,역사관광,4743
202106,자연관광,4054
202106,체험관광,45
202106,레저스포츠,6206
202107,전체,88471
202107,숙박,8379
202107,음식,43616
202107,기타관광,3035
202107,쇼핑,3679
202107,문화관광,16328
202107,역사관광,4341
202107,자연관광,3321
202107,체험관광,46
202107,레저스포츠,5726
202108,전체,93145
202108,숙박,8131
202108,음식,44107
202108,기타관광,4463
202108,쇼핑,3808
202108,문화관광,17725
202108,역사관광,5516
202108,자연관광,3627
202108,체험관광,155
202108,레저스포츠,5613
202109,전체,93613
202109,숙박,6164
202109,음식,43100
202109,기타관광,5558
202109,쇼핑,4746
202109,문화관광,17214
202109,역사관광,6216
202109,자연관광,4166
202109,체험관광,225
202109,레저스포츠,6224
202110,전체,116260
202110,숙박,7750
202110,음식,51135
202110,기타관광,14624
202110,쇼핑,4430
202110,문화관광,19379
202110,역사관광,6689
202110,자연관광,5459
202110,체험관광,36
202110,레저스포츠,6758
202111,전체,98870
202111,숙박,7021
202111,음식,44436
202111,기타관광,9641
202111,쇼핑,4279
202111,문화관광,18417
202111,역사관광,4879
202111,자연관광,4456
202111,체험관광,145
202111,레저스포츠,5596
202112,전체,70713
202112,숙박,6271
202112,음식,36225
202112,기타관광,2588
202112,쇼핑,3436
202112,문화관광,14420
202112,역사관광,2592
202112,자연관광,2263
202112,체험관광,248
202112,레저스포츠,2670
202201,전체,60072
202201,숙박,4522
202201,음식,28328
202201,기타관광,2328
202201,쇼핑,4090
202201,문화관광,14007
202201,역사관광,3061
202201,자연관광,1979
202201,체험관광,198
202201,레저스포츠,1559
202202,전체,63768
202202,숙박,5614
202202,음식,30213
202202,기타관광,2601
202202,쇼핑,3207
202202,문화관광,14163
202202,역사관광,3376
202202,자연관광,2323
202202,체험관광,257
202202,레저스포츠,2014
202203,전체,73915
202203,숙박,5372
202203,음식,34566
202203,기타관광,3562
202203,쇼핑,3368
202203,문화관광,16531
202203,역사관광,3775
202203,자연관광,2761
202203,체험관광,363
202203,레저스포츠,3617
202204,전체,121336
202204,숙박,8374
202204,음식,51030
202204,기타관광,11030
202204,쇼핑,4886
202204,문화관광,27362
202204,역사관광,7403
202204,자연관광,5084
202204,체험관광,467
202204,레저스포츠,5700
202205,전체,130018
202205,숙박,9221
202205,음식,57969
202205,기타관광,10677
202205,쇼핑,4847
202205,문화관광,27396
202205,역사관광,7149
202205,자연관광,5658
202205,체험관광,216
202205,레저스포츠,6885
202206,전체,114671
202206,숙박,10323
202206,음식,53824
202206,기타관광,7179
202206,쇼핑,4359
202206,문화관광,22939
202206,역사관광,5043
202206,자연관광,4784
202206,체험관광,65
202206,레저스포츠,6155
202207,전체,114441
202207,숙박,12831
202207,음식,57700
202207,기타관광,4442
202207,쇼핑,4191
202207,문화관광,21447
202207,역사관광,3990
202207,자연관광,4031
202207,체험관광,54
202207,레저스포츠,5755
202208,전체,117484
202208,숙박,13424
202208,음식,57083
202208,기타관광,5408
202208,쇼핑,4303
202208,문화관광,23179
202208,역사관광,4502
202208,자연관광,4125
202208,체험관광,139
202208,레저스포츠,5321
202209,전체,112002
202209,숙박,9770
202209,음식,51953
202209,기타관광,7396
202209,문화관광,22410
202209,쇼핑,5028
202209,역사관광,5607
202209,자연관광,3937
202209,체험관광,174
202209,레저스포츠,5727
202210,전체,142812
202210,숙박,11292
202210,음식,61669
202210,기타관광,19096
202210,쇼핑,5429
202210,문화관광,25488
202210,역사관광,7461
202210,자연관광,5680
202210,체험관광,117
202210,레저스포츠,6580
202211,전체,115081
202211,숙박,8848
202211,음식,52732
202211,기타관광,13747
202211,쇼핑,4939
202211,문화관광,19530
202211,역사관광,5166
202211,자연관광,4514
202211,체험관광,146
202211,레저스포츠,5459
202212,전체,88362
202212,숙박,7993
202212,음식,50321
202212,기타관광,2551
202212,쇼핑,4427
202212,문화관광,16505
202212,역사관광,2261
202212,자연관광,2145
202212,체험관광,391
202212,레저스포츠,1768
202301,전체,86914
202301,숙박,6398
202301,음식,49209
202301,기타관광,2052
202301,쇼핑,5138
202301,문화관광,16944
202301,역사관광,3234
202301,자연관광,2230
202301,체험관광,451
202301,레저스포츠,1258
202302,전체,92754
202302,숙박,6350
202302,음식,50688
202302,기타관광,3706
202302,쇼핑,4836
202302,문화관광,17885
202302,역사관광,3486
202302,자연관광,3056
202302,체험관광,470
202302,레저스포츠,2277
202303,전체,118516
202303,숙박,7275
202303,음식,59864
202303,기타관광,6609
202303,쇼핑,5664
202303,문화관광,24162
202303,역사관광,5753
202303,자연관광,4070
202303,체험관광,725
202303,레저스포츠,4394
202304,전체,126322
202304,숙박,9463
202304,음식,60679
202304,기타관광,13051
202304,쇼핑,5526
202304,문화관광,22055
202304,역사관광,6922
202304,자연관광,3264
202304,체험관광,466
202304,레저스포츠,4896
202305,전체,125127
202305,숙박,9723
202305,음식,63737
202305,기타관광,13021
202305,쇼핑,5164
202305,문화관광,20444
202305,역사관광,5326
202305,자연관광,2665
202305,체험관광,175
202305,레저스포츠,4872
202306,전체,121741
202306,기타관광,9320
202306,쇼핑,5013
202306,숙박,10523
202306,음식,63783
202306,문화관광,20193
202306,역사관광,4224
202306,자연관광,3199
202306,체험관광,120
202306,레저스포츠,5366
202307,전체,109820
202307,기타관광,3879
202307,쇼핑,4724
202307,숙박,10743
202307,음식,64195
202307,문화관광,17802
202307,역사관광,2737
202307,자연관광,1914
202307,체험관광,74
202307,레저스포츠,3752
202308,전체,123066
202308,숙박,12305
202308,음식,65961
202308,기타관광,5376
202308,쇼핑,4809
202308,문화관광,22867
202308,역사관광,3351
202308,자연관광,2869
202308,체험관광,242
202308,레저스포츠,5286
202309,전체,133867
202309,숙박,9838
202309,음식,64090
202309,기타관광,9405
202309,문화관광,26782
202309,쇼핑,6438
202309,역사관광,5610
202309,자연관광,4701
202309,체험관광,247
202309,레저스포츠,6756
202310,전체,165888
202310,기타관광,30838
202310,쇼핑,5741
202310,숙박,9908
202310,음식,67285
202310,문화관광,30793
202310,역사관광,7921
202310,자연관광,6607
202310,체험관광,97
202310,레저스포츠,6698
202311,전체,115346
202311,기타관광,15558
202311,쇼핑,5532
202311,숙박,8339
202311,음식,53988
202311,문화관광,18834
202311,역사관광,4262
202311,자연관광,3756
202311,체험관광,195
202311,레저스포츠,4882
202312,전체,106244
202312,기타관광,3733
202312,쇼핑,5128
202312,숙박,8284
202312,음식,61088
202312,문화관광,19878
202312,역사관광,2712
202312,자연관광,2628
202312,체험관광,605
202312,레저스포츠,2188
202401,전체,90215
202401,기타관광,2772
202401,쇼핑,4916
202401,숙박,6326
202401,음식,51644
202401,문화관광,16865
202401,역사관광,3045
202401,자연관광,2379
202401,체험관광,627
202401,레저스포츠,1641
202402,전체,93927
202402,기타관광,3522
202402,쇼핑,5202
202402,숙박,5869
202402,음식,50622
202402,문화관광,18716
202402,역사관광,3681
202402,자연관광,2966
202402,체험관광,743
202402,레저스포츠,2606
202403,전체,124010
202403,기타관광,6900
202403,쇼핑,6050
202403,숙박,7871
202403,음식,62828
202403,문화관광,25727
202403,역사관광,5291
202403,자연관광,4174
202403,체험관광,1047
202403,레저스포츠,4122
