기준년월,방문자수,전년동월방문자수,방문자수증감률
202103,2456888,2149242,14.3
202104,2299894,2254198,2
202105,2489522,2563617,-2.9
202106,2283164,2405170,-5.1
202107,2349698,2496378,-5.9
202108,2333967,2307453,1.1
202109,2597714,2289415,13.5
202110,2498424,2624743,-4.8
202111,2353091,2289237,2.8
202112,2250520,1908584,17.9
202201,2304090,1899685,21.3
202202,1989907,2172443,-8.4
202203,2364456,2456888,-3.8
202204,2772876,2299894,20.6
202205,2825751,2489522,13.5
202206,2456106,2283164,7.6
202207,2584660,2349698,10
202208,2549920,2333967,9.2
202209,2835703,2597714,9.2
202210,2731330,2498424,9.3
202211,2455820,2353091,4.4
202212,2318278,2250520,3
202301,2417614,2304090,4.9
202302,2231570,1989907,12.1
202303,2843832,2364456,20.3
202304,2616684,2772876,-5.6
202305,2687099,2825751,-4.9
202306,2483055,2456106,1.1
202307,2464307,2584660,-4.6
202308,2518501,2549920,-1.2
202309,2628688,2835703,-7.3
202310,2746223,2731330,0.5
202311,2347049,2455820,-4.4
202312,2401611,2318278,3.6
202401,2215157,2417614,-8.4
202402,2356610,2231570,5.6
202403,2726716,2843832,-4.1
