기준연월,검색건수,전년동기 검색건수,전년동기 대비 증감률
202103,1145,476,140.5
202104,1624,762,113.1
202105,1674,1063,57.5
202106,1928,1151,67.5
202107,1656,1445,14.6
202108,1552,1531,1.4
202109,1661,922,80.2
202110,2275,2119,7.4
202111,1587,1352,17.4
202112,1292,1144,12.9
202201,1051,992,5.9
202202,971,1113,-12.8
202203,990,1145,-13.5
202204,1544,1624,-4.9
202205,2032,1674,21.4
202206,1724,1928,-10.6
202207,1810,1656,9.3
202208,2123,1552,36.8
202209,1592,1661,-4.2
202210,2264,2275,-0.5
202211,1444,1587,-9
202212,1243,1292,-3.8
202301,1341,1051,27.6
202302,1125,971,15.9
202303,1320,990,33.3
202304,1709,1544,10.7
202305,1943,2032,-4.4
202306,1857,1724,7.7
202307,2040,1810,12.7
202308,2552,2123,20.2
202309,2200,1592,38.2
202310,2844,2264,25.6
202311,2172,1444,50.4
202312,2102,1243,69.1
202401,2019,1341,50.6
202402,2863,1125,154.5
202403,1808,1320,37
