"행정구역","2022년03월_남자인구수","2022년03월_여자인구수","2022년03월_계","2022년04월_남자인구수","2022년04월_여자인구수","2022년04월_계","2022년05월_남자인구수","2022년05월_여자인구수","2022년05월_계","2022년06월_남자인구수","2022년06월_여자인구수","2022년06월_계","2022년07월_남자인구수","2022년07월_여자인구수","2022년07월_계","2022년08월_남자인구수","2022년08월_여자인구수","2022년08월_계","2022년09월_남자인구수","2022년09월_여자인구수","2022년09월_계","2022년10월_남자인구수","2022년10월_여자인구수","2022년10월_계","2022년11월_남자인구수","2022년11월_여자인구수","2022년11월_계","2022년12월_남자인구수","2022년12월_여자인구수","2022년12월_계","2023년01월_남자인구수","2023년01월_여자인구수","2023년01월_계","2023년02월_남자인구수","2023년02월_여자인구수","2023년02월_계"
"경상북도 경상북도 영주시 (4721000000)","11","10","21","10","18","28","21","15","36","10","15","25","12","9","21","18","17","35","12","20","32","12","11","23","12","13","25","22","8","30","16","18","34","19","10","29"
"경상북도 영주시 풍기읍(4721025000)","0","1","1","2","0","2","2","0","2","1","0","1","0","0","0","1","1","2","2","2","4","1","1","2","2","1","3","1","1","2","1","2","3","4","1","5"
"경상북도 영주시 이산면(4721031000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상북도 영주시 평은면(4721032000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"경상북도 영주시 문수면(4721033000)","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상북도 영주시 장수면(4721034000)","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","2","0","2","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","1"
"경상북도 영주시 안정면(4721035000)","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상북도 영주시 봉현면(4721036000)","0","0","0","1","0","1","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"경상북도 영주시 순흥면(4721037000)","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상북도 영주시 단산면(4721038000)","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상북도 영주시 부석면(4721039000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"경상북도 영주시 상망동(4721051000)","0","0","0","2","3","5","0","0","0","0","0","0","1","1","2","3","1","4","1","3","4","0","0","0","1","0","1","1","0","1","2","3","5","2","0","2"
"경상북도 영주시 하망동(4721052500)","0","0","0","0","0","0","1","1","2","2","0","2","0","0","0","0","0","0","0","1","1","1","0","1","1","1","2","3","0","3","0","1","1","1","0","1"
"경상북도 영주시 영주1동(4721055000)","0","0","0","0","0","0","1","1","2","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","1","1","1","2"
"경상북도 영주시 영주2동(4721056000)","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","3","0","3","1","0","1","0","0","0","0","1","1"
"경상북도 영주시 휴천1동(4721059000)","0","2","2","0","1","1","1","0","1","1","4","5","1","1","2","0","3","3","0","2","2","1","1","2","1","0","1","3","1","4","0","0","0","0","3","3"
"경상북도 영주시 휴천2동(4721060000)","1","1","2","0","2","2","1","0","1","1","1","2","0","1","1","0","0","0","1","5","6","1","1","2","1","1","2","1","0","1","1","1","2","1","1","2"
"경상북도 영주시 휴천3동(4721061000)","3","1","4","0","2","2","3","2","5","1","2","3","2","0","2","0","1","1","1","0","1","1","0","1","0","1","1","2","0","2","1","0","1","1","0","1"
"경상북도 영주시 가흥1동(4721062000)","6","4","10","3","2","5","4","7","11","1","2","3","3","6","9","8","6","14","4","4","8","3","5","8","1","5","6","7","2","9","7","5","12","5","2","7"
"경상북도 영주시 가흥2동(4721063000)","0","0","0","2","6","8","7","4","11","2","4","6","2","0","2","4","4","8","1","0","1","1","3","4","1","4","5","2","4","6","3","5","8","3","1","4"
