"행정구역","2023년03월_계_총인구수","2023년03월_계_연령구간인구수","2023년03월_계_0~9세","2023년03월_계_10~19세","2023년03월_계_20~29세","2023년03월_계_30~39세","2023년03월_계_40~49세","2023년03월_계_50~59세","2023년03월_계_60~69세","2023년03월_계_70~79세","2023년03월_계_80~89세","2023년03월_계_90~99세","2023년03월_계_100세 이상","2023년03월_남_총인구수","2023년03월_남_연령구간인구수","2023년03월_남_0~9세","2023년03월_남_10~19세","2023년03월_남_20~29세","2023년03월_남_30~39세","2023년03월_남_40~49세","2023년03월_남_50~59세","2023년03월_남_60~69세","2023년03월_남_70~79세","2023년03월_남_80~89세","2023년03월_남_90~99세","2023년03월_남_100세 이상","2023년03월_여_총인구수","2023년03월_여_연령구간인구수","2023년03월_여_0~9세","2023년03월_여_10~19세","2023년03월_여_20~29세","2023년03월_여_30~39세","2023년03월_여_40~49세","2023년03월_여_50~59세","2023년03월_여_60~69세","2023년03월_여_70~79세","2023년03월_여_80~89세","2023년03월_여_90~99세","2023년03월_여_100세 이상","2023년04월_계_총인구수","2023년04월_계_연령구간인구수","2023년04월_계_0~9세","2023년04월_계_10~19세","2023년04월_계_20~29세","2023년04월_계_30~39세","2023년04월_계_40~49세","2023년04월_계_50~59세","2023년04월_계_60~69세","2023년04월_계_70~79세","2023년04월_계_80~89세","2023년04월_계_90~99세","2023년04월_계_100세 이상","2023년04월_남_총인구수","2023년04월_남_연령구간인구수","2023년04월_남_0~9세","2023년04월_남_10~19세","2023년04월_남_20~29세","2023년04월_남_30~39세","2023년04월_남_40~49세","2023년04월_남_50~59세","2023년04월_남_60~69세","2023년04월_남_70~79세","2023년04월_남_80~89세","2023년04월_남_90~99세","2023년04월_남_100세 이상","2023년04월_여_총인구수","2023년04월_여_연령구간인구수","2023년04월_여_0~9세","2023년04월_여_10~19세","2023년04월_여_20~29세","2023년04월_여_30~39세","2023년04월_여_40~49세","2023년04월_여_50~59세","2023년04월_여_60~69세","2023년04월_여_70~79세","2023년04월_여_80~89세","2023년04월_여_90~99세","2023년04월_여_100세 이상","2023년05월_계_총인구수","2023년05월_계_연령구간인구수","2023년05월_계_0~9세","2023년05월_계_10~19세","2023년05월_계_20~29세","2023년05월_계_30~39세","2023년05월_계_40~49세","2023년05월_계_50~59세","2023년05월_계_60~69세","2023년05월_계_70~79세","2023년05월_계_80~89세","2023년05월_계_90~99세","2023년05월_계_100세 이상","2023년05월_남_총인구수","2023년05월_남_연령구간인구수","2023년05월_남_0~9세","2023년05월_남_10~19세","2023년05월_남_20~29세","2023년05월_남_30~39세","2023년05월_남_40~49세","2023년05월_남_50~59세","2023년05월_남_60~69세","2023년05월_남_70~79세","2023년05월_남_80~89세","2023년05월_남_90~99세","2023년05월_남_100세 이상","2023년05월_여_총인구수","2023년05월_여_연령구간인구수","2023년05월_여_0~9세","2023년05월_여_10~19세","2023년05월_여_20~29세","2023년05월_여_30~39세","2023년05월_여_40~49세","2023년05월_여_50~59세","2023년05월_여_60~69세","2023년05월_여_70~79세","2023년05월_여_80~89세","2023년05월_여_90~99세","2023년05월_여_100세 이상","2023년06월_계_총인구수","2023년06월_계_연령구간인구수","2023년06월_계_0~9세","2023년06월_계_10~19세","2023년06월_계_20~29세","2023년06월_계_30~39세","2023년06월_계_40~49세","2023년06월_계_50~59세","2023년06월_계_60~69세","2023년06월_계_70~79세","2023년06월_계_80~89세","2023년06월_계_90~99세","2023년06월_계_100세 이상","2023년06월_남_총인구수","2023년06월_남_연령구간인구수","2023년06월_남_0~9세","2023년06월_남_10~19세","2023년06월_남_20~29세","2023년06월_남_30~39세","2023년06월_남_40~49세","2023년06월_남_50~59세","2023년06월_남_60~69세","2023년06월_남_70~79세","2023년06월_남_80~89세","2023년06월_남_90~99세","2023년06월_남_100세 이상","2023년06월_여_총인구수","2023년06월_여_연령구간인구수","2023년06월_여_0~9세","2023년06월_여_10~19세","2023년06월_여_20~29세","2023년06월_여_30~39세","2023년06월_여_40~49세","2023년06월_여_50~59세","2023년06월_여_60~69세","2023년06월_여_70~79세","2023년06월_여_80~89세","2023년06월_여_90~99세","2023년06월_여_100세 이상","2023년07월_계_총인구수","2023년07월_계_연령구간인구수","2023년07월_계_0~9세","2023년07월_계_10~19세","2023년07월_계_20~29세","2023년07월_계_30~39세","2023년07월_계_40~49세","2023년07월_계_50~59세","2023년07월_계_60~69세","2023년07월_계_70~79세","2023년07월_계_80~89세","2023년07월_계_90~99세","2023년07월_계_100세 이상","2023년07월_남_총인구수","2023년07월_남_연령구간인구수","2023년07월_남_0~9세","2023년07월_남_10~19세","2023년07월_남_20~29세","2023년07월_남_30~39세","2023년07월_남_40~49세","2023년07월_남_50~59세","2023년07월_남_60~69세","2023년07월_남_70~79세","2023년07월_남_80~89세","2023년07월_남_90~99세","2023년07월_남_100세 이상","2023년07월_여_총인구수","2023년07월_여_연령구간인구수","2023년07월_여_0~9세","2023년07월_여_10~19세","2023년07월_여_20~29세","2023년07월_여_30~39세","2023년07월_여_40~49세","2023년07월_여_50~59세","2023년07월_여_60~69세","2023년07월_여_70~79세","2023년07월_여_80~89세","2023년07월_여_90~99세","2023년07월_여_100세 이상","2023년08월_계_총인구수","2023년08월_계_연령구간인구수","2023년08월_계_0~9세","2023년08월_계_10~19세","2023년08월_계_20~29세","2023년08월_계_30~39세","2023년08월_계_40~49세","2023년08월_계_50~59세","2023년08월_계_60~69세","2023년08월_계_70~79세","2023년08월_계_80~89세","2023년08월_계_90~99세","2023년08월_계_100세 이상","2023년08월_남_총인구수","2023년08월_남_연령구간인구수","2023년08월_남_0~9세","2023년08월_남_10~19세","2023년08월_남_20~29세","2023년08월_남_30~39세","2023년08월_남_40~49세","2023년08월_남_50~59세","2023년08월_남_60~69세","2023년08월_남_70~79세","2023년08월_남_80~89세","2023년08월_남_90~99세","2023년08월_남_100세 이상","2023년08월_여_총인구수","2023년08월_여_연령구간인구수","2023년08월_여_0~9세","2023년08월_여_10~19세","2023년08월_여_20~29세","2023년08월_여_30~39세","2023년08월_여_40~49세","2023년08월_여_50~59세","2023년08월_여_60~69세","2023년08월_여_70~79세","2023년08월_여_80~89세","2023년08월_여_90~99세","2023년08월_여_100세 이상"
"경상북도 경상북도 영주시 (4721000000)","100,847","100,847","5,205","8,762","9,067","7,728","12,836","17,025","19,230","12,155","7,668","1,135","36","50,002","50,002","2,699","4,564","5,227","4,226","6,549","8,849","9,359","5,528","2,744","250","7","50,845","50,845","2,506","4,198","3,840","3,502","6,287","8,176","9,871","6,627","4,924","885","29","100,746","100,746","5,172","8,710","9,079","7,719","12,758","16,980","19,272","12,169","7,701","1,150","36","49,955","49,955","2,681","4,535","5,239","4,226","6,493","8,835","9,388","5,541","2,750","260","7","50,791","50,791","2,491","4,175","3,840","3,493","6,265","8,145","9,884","6,628","4,951","890","29","100,610","100,610","5,138","8,701","9,046","7,705","12,700","16,981","19,247","12,191","7,706","1,160","35","49,898","49,898","2,669","4,534","5,210","4,228","6,470","8,835","9,381","5,543","2,761","260","7","50,712","50,712","2,469","4,167","3,836","3,477","6,230","8,146","9,866","6,648","4,945","900","28","100,491","100,491","5,099","8,672","9,060","7,669","12,623","17,001","19,256","12,225","7,693","1,158","35","49,834","49,834","2,647","4,519","5,220","4,211","6,406","8,863","9,395","5,559","2,749","260","5","50,657","50,657","2,452","4,153","3,840","3,458","6,217","8,138","9,861","6,666","4,944","898","30","100,363","100,363","5,054","8,650","9,036","7,641","12,573","17,043","19,231","12,256","7,687","1,157","35","49,752","49,752","2,625","4,509","5,202","4,193","6,396","8,874","9,372","5,580","2,739","257","5","50,611","50,611","2,429","4,141","3,834","3,448","6,177","8,169","9,859","6,676","4,948","900","30","100,196","100,196","5,026","8,625","8,947","7,627","12,520","17,041","19,252","12,267","7,677","1,178","36","49,659","49,659","2,612","4,505","5,134","4,185","6,370","8,876","9,389","5,578","2,743","261","6","50,537","50,537","2,414","4,120","3,813","3,442","6,150","8,165","9,863","6,689","4,934","917","30"
"경상북도 영주시 풍기읍(4721025000)","10,482","10,482","370","779","976","627","1,059","1,700","2,392","1,482","943","145","9","5,248","5,248","194","409","627","328","578","892","1,171","668","341","37","3","5,234","5,234","176","370","349","299","481","808","1,221","814","602","108","6","10,497","10,497","370","778","996","620","1,059","1,687","2,389","1,488","953","148","9","5,252","5,252","192","411","636","323","571","886","1,171","678","339","42","3","5,245","5,245","178","367","360","297","488","801","1,218","810","614","106","6","10,483","10,483","367","783","991","623","1,061","1,678","2,386","1,485","950","150","9","5,249","5,249","189","417","633","331","569","879","1,167","679","340","42","3","5,234","5,234","178","366","358","292","492","799","1,219","806","610","108","6","10,482","10,482","366","784","991","624","1,048","1,693","2,388","1,484","947","149","8","5,251","5,251","186","421","630","333","561","891","1,168","679","339","41","2","5,231","5,231","180","363","361","291","487","802","1,220","805","608","108","6","10,462","10,462","367","784","970","630","1,042","1,688","2,378","1,502","945","148","8","5,232","5,232","188","419","615","334","559","891","1,158","688","339","39","2","5,230","5,230","179","365","355","296","483","797","1,220","814","606","109","6","10,449","10,449","365","783","954","630","1,040","1,686","2,384","1,509","937","153","8","5,226","5,226","186","422","606","336","551","895","1,162","690","337","39","2","5,223","5,223","179","361","348","294","489","791","1,222","819","600","114","6"
"경상북도 영주시 이산면(4721031000)","2,240","2,240","40","81","131","107","157","418","612","353","292","49","0","1,158","1,158","18","41","84","56","90","239","339","178","102","11","0","1,082","1,082","22","40","47","51","67","179","273","175","190","38","0","2,239","2,239","40","82","131","107","153","413","619","348","294","52","0","1,155","1,155","18","41","84","55","88","236","344","173","105","11","0","1,084","1,084","22","41","47","52","65","177","275","175","189","41","0","2,229","2,229","40","82","131","105","151","407","620","349","294","50","0","1,145","1,145","18","41","82","54","85","230","348","173","104","10","0","1,084","1,084","22","41","49","51","66","177","272","176","190","40","0","2,231","2,231","41","82","130","108","149","405","622","351","292","51","0","1,148","1,148","19","42","80","57","82","230","349","175","102","12","0","1,083","1,083","22","40","50","51","67","175","273","176","190","39","0","2,231","2,231","38","85","132","108","146","407","620","353","291","51","0","1,145","1,145","18","41","83","56","79","231","350","176","99","12","0","1,086","1,086","20","44","49","52","67","176","270","177","192","39","0","2,227","2,227","32","89","132","106","144","407","620","350","294","53","0","1,141","1,141","17","42","82","55","78","230","348","174","103","12","0","1,086","1,086","15","47","50","51","66","177","272","176","191","41","0"
"경상북도 영주시 평은면(4721032000)","1,426","1,426","19","52","52","44","91","256","374","280","215","42","1","728","728","13","22","37","25","62","139","202","130","86","11","1","698","698","6","30","15","19","29","117","172","150","129","31","0","1,427","1,427","21","52","54","47","90","253","366","280","219","44","1","731","731","15","22","39","27","62","138","198","131","86","12","1","696","696","6","30","15","20","28","115","168","149","133","32","0","1,421","1,421","21","52","52","47","90","252","363","278","222","43","1","726","726","15","22","37","27","63","135","198","129","87","12","1","695","695","6","30","15","20","27","117","165","149","135","31","0","1,417","1,417","21","51","52","47","90","245","366","277","223","44","1","722","722","15","22","36","27","63","131","199","129","87","12","1","695","695","6","29","16","20","27","114","167","148","136","32","0","1,414","1,414","20","50","54","46","91","243","363","278","224","44","1","722","722","15","22","37","27","63","131","196","130","88","12","1","692","692","5","28","17","19","28","112","167","148","136","32","0","1,410","1,410","20","49","53","44","90","244","362","279","224","43","2","721","721","15","21","36","26","62","132","195","132","89","11","2","689","689","5","28","17","18","28","112","167","147","135","32","0"
"경상북도 영주시 문수면(4721033000)","1,934","1,934","57","77","105","111","140","312","500","311","258","61","2","1,000","1,000","31","44","56","73","86","173","281","154","87","15","0","934","934","26","33","49","38","54","139","219","157","171","46","2","1,932","1,932","56","78","104","111","139","312","500","313","257","60","2","1,002","1,002","31","44","57","73","86","175","278","158","85","15","0","930","930","25","34","47","38","53","137","222","155","172","45","2","1,943","1,943","55","79","102","112","140","313","505","313","261","61","2","1,009","1,009","31","44","57","75","86","174","282","156","89","15","0","934","934","24","35","45","37","54","139","223","157","172","46","2","1,947","1,947","55","78","105","113","140","317","502","314","259","61","3","1,008","1,008","31","44","58","76","85","176","279","156","88","15","0","939","939","24","34","47","37","55","141","223","158","171","46","3","1,942","1,942","56","77","103","109","143","311","503","316","257","64","3","1,001","1,001","31","42","56","74","87","173","278","159","86","15","0","941","941","25","35","47","35","56","138","225","157","171","49","3","1,940","1,940","55","79","103","105","143","311","505","315","254","67","3","1,001","1,001","31","42","56","70","87","174","281","157","88","15","0","939","939","24","37","47","35","56","137","224","158","166","52","3"
"경상북도 영주시 장수면(4721034000)","2,103","2,103","57","87","130","105","154","323","526","366","289","61","5","1,074","1,074","33","45","77","61","93","187","278","179","110","11","0","1,029","1,029","24","42","53","44","61","136","248","187","179","50","5","2,092","2,092","58","86","129","102","153","320","522","367","290","60","5","1,070","1,070","34","45","78","58","92","186","275","182","109","11","0","1,022","1,022","24","41","51","44","61","134","247","185","181","49","5","2,093","2,093","56","88","125","104","153","324","519","366","290","63","5","1,073","1,073","34","46","74","60","94","189","274","180","111","11","0","1,020","1,020","22","42","51","44","59","135","245","186","179","52","5","2,095","2,095","56","87","124","106","154","319","523","368","290","63","5","1,074","1,074","33","46","74","60","97","181","282","180","111","10","0","1,021","1,021","23","41","50","46","57","138","241","188","179","53","5","2,085","2,085","54","88","123","105","153","322","523","363","285","64","5","1,071","1,071","33","46","72","60","97","183","284","178","107","11","0","1,014","1,014","21","42","51","45","56","139","239","185","178","53","5","2,076","2,076","53","86","120","104","154","317","528","358","285","66","5","1,062","1,062","32","45","69","59","98","178","289","175","106","11","0","1,014","1,014","21","41","51","45","56","139","239","183","179","55","5"
"경상북도 영주시 안정면(4721035000)","2,862","2,862","62","119","134","128","220","457","738","514","408","80","2","1,427","1,427","29","66","83","78","137","253","380","246","138","17","0","1,435","1,435","33","53","51","50","83","204","358","268","270","63","2","2,851","2,851","59","117","133","123","220","457","737","514","407","82","2","1,425","1,425","29","65","82","75","138","255","381","246","135","19","0","1,426","1,426","30","52","51","48","82","202","356","268","272","63","2","2,843","2,843","58","117","130","124","220","457","734","510","412","80","1","1,422","1,422","29","65","80","77","137","256","378","245","137","18","0","1,421","1,421","29","52","50","47","83","201","356","265","275","62","1","2,844","2,844","60","115","128","125","222","454","731","517","412","79","1","1,419","1,419","29","64","79","77","139","254","378","245","136","18","0","1,425","1,425","31","51","49","48","83","200","353","272","276","61","1","2,853","2,853","63","113","127","129","219","452","738","521","412","78","1","1,422","1,422","31","64","75","79","136","254","382","247","136","18","0","1,431","1,431","32","49","52","50","83","198","356","274","276","60","1","2,844","2,844","66","111","124","130","214","454","736","519","412","76","2","1,417","1,417","32","64","73","79","133","256","380","247","134","19","0","1,427","1,427","34","47","51","51","81","198","356","272","278","57","2"
"경상북도 영주시 봉현면(4721036000)","2,605","2,605","57","112","127","108","223","429","753","464","279","50","3","1,326","1,326","26","57","81","61","134","226","395","226","106","13","1","1,279","1,279","31","55","46","47","89","203","358","238","173","37","2","2,606","2,606","58","110","123","111","222","430","752","469","277","51","3","1,322","1,322","27","54","79","60","134","224","396","228","106","13","1","1,284","1,284","31","56","44","51","88","206","356","241","171","38","2","2,614","2,614","60","108","118","115","221","435","749","473","277","55","3","1,322","1,322","29","52","74","63","131","225","395","232","106","14","1","1,292","1,292","31","56","44","52","90","210","354","241","171","41","2","2,600","2,600","58","109","116","114","221","426","754","472","272","55","3","1,311","1,311","27","54","73","63","130","220","394","231","104","14","1","1,289","1,289","31","55","43","51","91","206","360","241","168","41","2","2,590","2,590","58","107","115","111","220","424","753","473","272","54","3","1,304","1,304","26","52","74","63","129","217","394","231","103","14","1","1,286","1,286","32","55","41","48","91","207","359","242","169","40","2","2,581","2,581","59","104","115","110","218","421","749","478","271","53","3","1,301","1,301","26","52","71","62","130","218","392","232","103","14","1","1,280","1,280","33","52","44","48","88","203","357","246","168","39","2"
"경상북도 영주시 순흥면(4721037000)","1,935","1,935","24","60","105","66","121","321","578","370","254","35","1","982","982","13","36","70","39","72","165","298","182","97","9","1","953","953","11","24","35","27","49","156","280","188","157","26","0","1,926","1,926","24","59","101","66","117","322","577","370","257","32","1","982","982","13","35","69","40","69","168","297","184","97","9","1","944","944","11","24","32","26","48","154","280","186","160","23","0","1,928","1,928","26","60","99","69","117","320","574","372","258","32","1","983","983","14","36","69","41","70","164","295","186","98","9","1","945","945","12","24","30","28","47","156","279","186","160","23","0","1,922","1,922","26","59","99","70","116","316","574","372","254","35","1","981","981","14","36","69","43","68","162","296","188","94","10","1","941","941","12","23","30","27","48","154","278","184","160","25","0","1,914","1,914","23","60","98","70","115","313","572","370","258","34","1","977","977","12","37","68","42","68","160","296","188","96","9","1","937","937","11","23","30","28","47","153","276","182","162","25","0","1,912","1,912","23","60","98","69","116","312","574","369","255","35","1","976","976","12","37","68","39","71","159","297","187","96","9","1","936","936","11","23","30","30","45","153","277","182","159","26","0"
"경상북도 영주시 단산면(4721038000)","1,804","1,804","18","57","84","66","123","308","479","349","277","42","1","882","882","9","33","61","37","76","157","267","159","80","3","0","922","922","9","24","23","29","47","151","212","190","197","39","1","1,801","1,801","16","55","84","68","119","306","484","351","276","41","1","882","882","9","32","62","37","73","157","271","159","79","3","0","919","919","7","23","22","31","46","149","213","192","197","38","1","1,784","1,784","15","55","81","67","114","305","482","350","275","39","1","872","872","8","33","58","36","71","156","269","160","78","3","0","912","912","7","22","23","31","43","149","213","190","197","36","1","1,785","1,785","15","52","85","65","114","305","487","348","273","40","1","875","875","8","32","61","35","73","156","272","159","76","3","0","910","910","7","20","24","30","41","149","215","189","197","37","1","1,787","1,787","17","51","85","69","112","304","488","350","270","40","1","877","877","9","32","61","36","72","155","272","161","76","3","0","910","910","8","19","24","33","40","149","216","189","194","37","1","1,773","1,773","16","49","82","67","109","304","487","348","271","39","1","872","872","8","30","60","36","70","156","270","162","76","4","0","901","901","8","19","22","31","39","148","217","186","195","35","1"
