"행정구역","2023년03월_전체","2023년03월_남자","2023년03월_여자","2023년03월_65세이상전체","2023년03월_65세이상남자","2023년03월_65세이상여자","2023년04월_전체","2023년04월_남자","2023년04월_여자","2023년04월_65세이상전체","2023년04월_65세이상남자","2023년04월_65세이상여자","2023년05월_전체","2023년05월_남자","2023년05월_여자","2023년05월_65세이상전체","2023년05월_65세이상남자","2023년05월_65세이상여자","2023년06월_전체","2023년06월_남자","2023년06월_여자","2023년06월_65세이상전체","2023년06월_65세이상남자","2023년06월_65세이상여자","2023년07월_전체","2023년07월_남자","2023년07월_여자","2023년07월_65세이상전체","2023년07월_65세이상남자","2023년07월_65세이상여자","2023년08월_전체","2023년08월_남자","2023년08월_여자","2023년08월_65세이상전체","2023년08월_65세이상남자","2023년08월_65세이상여자","2023년09월_전체","2023년09월_남자","2023년09월_여자","2023년09월_65세이상전체","2023년09월_65세이상남자","2023년09월_65세이상여자","2023년10월_전체","2023년10월_남자","2023년10월_여자","2023년10월_65세이상전체","2023년10월_65세이상남자","2023년10월_65세이상여자","2023년11월_전체","2023년11월_남자","2023년11월_여자","2023년11월_65세이상전체","2023년11월_65세이상남자","2023년11월_65세이상여자","2023년12월_전체","2023년12월_남자","2023년12월_여자","2023년12월_65세이상전체","2023년12월_65세이상남자","2023년12월_65세이상여자","2024년01월_전체","2024년01월_남자","2024년01월_여자","2024년01월_65세이상전체","2024년01월_65세이상남자","2024년01월_65세이상여자","2024년02월_전체","2024년02월_남자","2024년02월_여자","2024년02월_65세이상전체","2024년02월_65세이상남자","2024년02월_65세이상여자","2024년03월_전체","2024년03월_남자","2024년03월_여자","2024년03월_65세이상전체","2024년03월_65세이상남자","2024년03월_65세이상여자"
"경상북도 경상북도 영주시 (4721000000)","100,847","50,002","50,845","29,994","12,857","17,137","100,746","49,955","50,791","30,059","12,893","17,166","100,610","49,898","50,712","30,113","12,926","17,187","100,491","49,834","50,657","30,128","12,920","17,208","100,363","49,752","50,611","30,158","12,925","17,233","100,196","49,659","50,537","30,239","12,971","17,268","100,011","49,553","50,458","30,290","13,000","17,290","100,208","49,745","50,463","30,355","13,038","17,317","100,216","49,756","50,460","30,376","13,047","17,329","100,199","49,730","50,469","30,454","13,096","17,358","100,100","49,727","50,373","30,556","13,153","17,403","99,966","49,672","50,294","30,660","13,207","17,453","100,072","49,729","50,343","30,785","13,261","17,524"
"경상북도 영주시 풍기읍(4721025000)","10,482","5,248","5,234","3,705","1,595","2,110","10,497","5,252","5,245","3,726","1,612","2,114","10,483","5,249","5,234","3,730","1,617","2,113","10,482","5,251","5,231","3,724","1,613","2,111","10,462","5,232","5,230","3,728","1,614","2,114","10,449","5,226","5,223","3,740","1,620","2,120","10,427","5,207","5,220","3,745","1,626","2,119","10,551","5,339","5,212","3,749","1,630","2,119","10,536","5,334","5,202","3,751","1,638","2,113","10,515","5,325","5,190","3,762","1,644","2,118","10,558","5,390","5,168","3,775","1,650","2,125","10,553","5,396","5,157","3,793","1,665","2,128","10,580","5,417","5,163","3,807","1,668","2,139"
"경상북도 영주시 이산면(4721031000)","2,240","1,158","1,082","959","440","519","2,239","1,155","1,084","959","438","521","2,229","1,145","1,084","954","436","518","2,231","1,148","1,083","957","439","518","2,231","1,145","1,086","959","437","522","2,227","1,141","1,086","958","436","522","2,210","1,129","1,081","960","434","526","2,200","1,124","1,076","958","436","522","2,193","1,121","1,072","954","435","519","2,193","1,127","1,066","949","435","514","2,194","1,127","1,067","955","436","519","2,199","1,133","1,066","958","442","516","2,195","1,132","1,063","962","446","516"
"경상북도 영주시 평은면(4721032000)","1,426","728","698","727","326","401","1,427","731","696","728","324","404","1,421","726","695","726","322","404","1,417","722","695","729","324","405","1,414","722","692","731","325","406","1,410","721","689","730","326","404","1,394","713","681","730","329","401","1,391","713","678","732","332","400","1,392","716","676","734","333","401","1,405","722","683","740","334","406","1,410","725","685","745","336","409","1,413","727","686","755","341","414","1,401","720","681","753","341","412"
"경상북도 영주시 문수면(4721033000)","1,934","1,000","934","849","383","466","1,932","1,002","930","849","383","466","1,943","1,009","934","861","391","470","1,947","1,008","939","861","388","473","1,942","1,001","941","864","388","476","1,940","1,001","939","869","391","478","1,925","993","932","871","392","479","1,925","995","930","874","395","479","1,920","989","931","871","389","482","1,919","984","935","877","393","484","1,917","990","927","875","394","481","1,914","989","925","886","399","487","1,909","988","921","890","402","488"
"경상북도 영주시 장수면(4721034000)","2,103","1,074","1,029","981","440","541","2,092","1,070","1,022","979","439","540","2,093","1,073","1,020","980","440","540","2,095","1,074","1,021","981","441","540","2,085","1,071","1,014","973","439","534","2,076","1,062","1,014","974","437","537","2,074","1,063","1,011","977","439","538","2,071","1,058","1,013","980","441","539","2,075","1,061","1,014","987","446","541","2,078","1,064","1,014","989","449","540","2,068","1,057","1,011","987","448","539","2,058","1,051","1,007","983","444","539","2,056","1,045","1,011","994","451","543"
"경상북도 영주시 안정면(4721035000)","2,862","1,427","1,435","1,371","593","778","2,851","1,425","1,426","1,373","592","781","2,843","1,422","1,421","1,374","595","779","2,844","1,419","1,425","1,382","596","786","2,853","1,422","1,431","1,387","599","788","2,844","1,417","1,427","1,383","598","785","2,843","1,418","1,425","1,388","599","789","2,851","1,425","1,426","1,388","599","789","2,855","1,432","1,423","1,390","603","787","2,846","1,430","1,416","1,391","606","785","2,841","1,433","1,408","1,392","609","783","2,843","1,433","1,410","1,398","611","787","2,837","1,432","1,405","1,398","611","787"
"경상북도 영주시 봉현면(4721036000)","2,605","1,326","1,279","1,167","535","632","2,606","1,322","1,284","1,168","538","630","2,614","1,322","1,292","1,173","541","632","2,600","1,311","1,289","1,168","537","631","2,590","1,304","1,286","1,169","537","632","2,581","1,301","1,280","1,168","538","630","2,574","1,299","1,275","1,166","539","627","2,574","1,301","1,273","1,165","541","624","2,561","1,301","1,260","1,163","542","621","2,566","1,295","1,271","1,163","542","621","2,555","1,291","1,264","1,168","545","623","2,552","1,289","1,263","1,173","548","625","2,551","1,292","1,259","1,176","549","627"
"경상북도 영주시 순흥면(4721037000)","1,935","982","953","936","423","513","1,926","982","944","934","424","510","1,928","983","945","936","425","511","1,922","981","941","933","423","510","1,914","977","937","933","424","509","1,912","976","936","932","423","509","1,902","971","931","937","425","512","1,899","970","929","938","424","514","1,893","966","927","936","422","514","1,878","953","925","942","424","518","1,886","953","933","944","424","520","1,883","949","934","950","429","521","1,899","965","934","955","429","526"
"경상북도 영주시 단산면(4721038000)","1,804","882","922","909","380","529","1,801","882","919","911","383","528","1,784","872","912","904","380","524","1,785","875","910","904","378","526","1,787","877","910","905","378","527","1,773","872","901","906","383","523","1,774","869","905","907","384","523","1,778","870","908","907","382","525","1,770","869","901","905","383","522","1,762","865","897","907","385","522","1,758","863","895","916","391","525","1,759","866","893","919","392","527","1,754","863","891","923","392","531"
"경상북도 영주시 부석면(4721039000)","2,898","1,447","1,451","1,459","651","808","2,882","1,437","1,445","1,453","647","806","2,873","1,430","1,443","1,453","647","806","2,866","1,426","1,440","1,454","644","810","2,857","1,424","1,433","1,451","642","809","2,860","1,423","1,437","1,457","643","814","2,858","1,424","1,434","1,453","640","813","2,850","1,421","1,429","1,454","641","813","2,845","1,419","1,426","1,450","639","811","2,846","1,415","1,431","1,451","639","812","2,855","1,424","1,431","1,457","644","813","2,860","1,427","1,433","1,465","646","819","2,846","1,418","1,428","1,471","647","824"
"경상북도 영주시 상망동(4721051000)","7,251","3,601","3,650","1,902","810","1,092","7,260","3,605","3,655","1,908","811","1,097","7,247","3,607","3,640","1,910","813","1,097","7,237","3,601","3,636","1,916","819","1,097","7,229","3,595","3,634","1,925","823","1,102","7,198","3,582","3,616","1,934","827","1,107","7,209","3,581","3,628","1,936","826","1,110","7,194","3,580","3,614","1,938","830","1,108","7,198","3,579","3,619","1,944","833","1,111","7,201","3,573","3,628","1,944","833","1,111","7,183","3,561","3,622","1,948","836","1,112","7,181","3,555","3,626","1,954","840","1,114","7,174","3,546","3,628","1,969","846","1,123"
"경상북도 영주시 하망동(4721052500)","5,813","2,758","3,055","1,718","672","1,046","5,813","2,762","3,051","1,716","671","1,045","5,813","2,764","3,049","1,711","672","1,039","5,770","2,742","3,028","1,704","669","1,035","5,774","2,744","3,030","1,706","670","1,036","5,775","2,745","3,030","1,707","672","1,035","5,775","2,749","3,026","1,707","671","1,036","5,784","2,751","3,033","1,714","676","1,038","5,797","2,768","3,029","1,722","681","1,041","5,825","2,787","3,038","1,733","684","1,049","5,803","2,784","3,019","1,735","684","1,051","5,824","2,799","3,025","1,729","686","1,043","5,854","2,811","3,043","1,734","686","1,048"
"경상북도 영주시 영주1동(4721055000)","3,732","1,829","1,903","1,406","578","828","3,714","1,822","1,892","1,401","579","822","3,693","1,807","1,886","1,405","582","823","3,684","1,804","1,880","1,410","585","825","3,662","1,795","1,867","1,408","583","825","3,650","1,789","1,861","1,411","584","827","3,648","1,793","1,855","1,412","587","825","3,652","1,800","1,852","1,413","588","825","3,634","1,790","1,844","1,405","585","820","3,638","1,792","1,846","1,404","586","818","3,618","1,776","1,842","1,405","584","821","3,601","1,770","1,831","1,406","583","823","3,603","1,772","1,831","1,412","587","825"
"경상북도 영주시 영주2동(4721056000)","4,686","2,252","2,434","1,803","762","1,041","4,674","2,246","2,428","1,820","770","1,050","4,657","2,237","2,420","1,824","775","1,049","4,646","2,232","2,414","1,820","773","1,047","4,642","2,234","2,408","1,816","770","1,046","4,639","2,234","2,405","1,820","774","1,046","4,634","2,220","2,414","1,824","774","1,050","4,625","2,212","2,413","1,825","767","1,058","4,622","2,210","2,412","1,825","763","1,062","4,617","2,207","2,410","1,831","765","1,066","4,603","2,194","2,409","1,833","765","1,068","4,590","2,184","2,406","1,833","766","1,067","4,584","2,184","2,400","1,845","774","1,071"
"경상북도 영주시 휴천1동(4721059000)","6,301","3,122","3,179","1,379","584","795","6,302","3,117","3,185","1,389","588","801","6,280","3,106","3,174","1,390","587","803","6,254","3,103","3,151","1,386","587","799","6,249","3,104","3,145","1,388","587","801","6,228","3,090","3,138","1,396","592","804","6,218","3,087","3,131","1,397","593","804","6,261","3,102","3,159","1,412","600","812","6,255","3,097","3,158","1,413","601","812","6,283","3,110","3,173","1,415","603","812","6,275","3,106","3,169","1,417","603","814","6,254","3,099","3,155","1,423","605","818","6,246","3,098","3,148","1,429","609","820"
"경상북도 영주시 휴천2동(4721060000)","9,745","4,821","4,924","2,915","1,256","1,659","9,737","4,816","4,921","2,920","1,261","1,659","9,703","4,790","4,913","2,916","1,256","1,660","9,729","4,791","4,938","2,910","1,247","1,663","9,695","4,771","4,924","2,912","1,248","1,664","9,630","4,730","4,900","2,917","1,251","1,666","9,616","4,733","4,883","2,922","1,256","1,666","9,638","4,743","4,895","2,939","1,260","1,679","9,656","4,749","4,907","2,946","1,252","1,694","9,656","4,757","4,899","2,954","1,260","1,694","9,610","4,720","4,890","2,972","1,275","1,697","9,579","4,702","4,877","2,980","1,274","1,706","9,698","4,755","4,943","2,982","1,277","1,705"
