"행정구역","2023년03월_전월인구수_남자인구수","2023년03월_전월인구수_여자인구수","2023년03월_전월인구수_계","2023년03월_당월인구수_남자인구수","2023년03월_당월인구수_여자인구수","2023년03월_당월인구수_계","2023년03월_인구증감_남자인구수","2023년03월_인구증감_여자인구수","2023년03월_인구증감_계","2023년04월_전월인구수_남자인구수","2023년04월_전월인구수_여자인구수","2023년04월_전월인구수_계","2023년04월_당월인구수_남자인구수","2023년04월_당월인구수_여자인구수","2023년04월_당월인구수_계","2023년04월_인구증감_남자인구수","2023년04월_인구증감_여자인구수","2023년04월_인구증감_계","2023년05월_전월인구수_남자인구수","2023년05월_전월인구수_여자인구수","2023년05월_전월인구수_계","2023년05월_당월인구수_남자인구수","2023년05월_당월인구수_여자인구수","2023년05월_당월인구수_계","2023년05월_인구증감_남자인구수","2023년05월_인구증감_여자인구수","2023년05월_인구증감_계","2023년06월_전월인구수_남자인구수","2023년06월_전월인구수_여자인구수","2023년06월_전월인구수_계","2023년06월_당월인구수_남자인구수","2023년06월_당월인구수_여자인구수","2023년06월_당월인구수_계","2023년06월_인구증감_남자인구수","2023년06월_인구증감_여자인구수","2023년06월_인구증감_계","2023년07월_전월인구수_남자인구수","2023년07월_전월인구수_여자인구수","2023년07월_전월인구수_계","2023년07월_당월인구수_남자인구수","2023년07월_당월인구수_여자인구수","2023년07월_당월인구수_계","2023년07월_인구증감_남자인구수","2023년07월_인구증감_여자인구수","2023년07월_인구증감_계","2023년08월_전월인구수_남자인구수","2023년08월_전월인구수_여자인구수","2023년08월_전월인구수_계","2023년08월_당월인구수_남자인구수","2023년08월_당월인구수_여자인구수","2023년08월_당월인구수_계","2023년08월_인구증감_남자인구수","2023년08월_인구증감_여자인구수","2023년08월_인구증감_계","2023년09월_전월인구수_남자인구수","2023년09월_전월인구수_여자인구수","2023년09월_전월인구수_계","2023년09월_당월인구수_남자인구수","2023년09월_당월인구수_여자인구수","2023년09월_당월인구수_계","2023년09월_인구증감_남자인구수","2023년09월_인구증감_여자인구수","2023년09월_인구증감_계","2023년10월_전월인구수_남자인구수","2023년10월_전월인구수_여자인구수","2023년10월_전월인구수_계","2023년10월_당월인구수_남자인구수","2023년10월_당월인구수_여자인구수","2023년10월_당월인구수_계","2023년10월_인구증감_남자인구수","2023년10월_인구증감_여자인구수","2023년10월_인구증감_계","2023년11월_전월인구수_남자인구수","2023년11월_전월인구수_여자인구수","2023년11월_전월인구수_계","2023년11월_당월인구수_남자인구수","2023년11월_당월인구수_여자인구수","2023년11월_당월인구수_계","2023년11월_인구증감_남자인구수","2023년11월_인구증감_여자인구수","2023년11월_인구증감_계","2023년12월_전월인구수_남자인구수","2023년12월_전월인구수_여자인구수","2023년12월_전월인구수_계","2023년12월_당월인구수_남자인구수","2023년12월_당월인구수_여자인구수","2023년12월_당월인구수_계","2023년12월_인구증감_남자인구수","2023년12월_인구증감_여자인구수","2023년12월_인구증감_계","2024년01월_전월인구수_남자인구수","2024년01월_전월인구수_여자인구수","2024년01월_전월인구수_계","2024년01월_당월인구수_남자인구수","2024년01월_당월인구수_여자인구수","2024년01월_당월인구수_계","2024년01월_인구증감_남자인구수","2024년01월_인구증감_여자인구수","2024년01월_인구증감_계","2024년02월_전월인구수_남자인구수","2024년02월_전월인구수_여자인구수","2024년02월_전월인구수_계","2024년02월_당월인구수_남자인구수","2024년02월_당월인구수_여자인구수","2024년02월_당월인구수_계","2024년02월_인구증감_남자인구수","2024년02월_인구증감_여자인구수","2024년02월_인구증감_계","2024년03월_전월인구수_남자인구수","2024년03월_전월인구수_여자인구수","2024년03월_전월인구수_계","2024년03월_당월인구수_남자인구수","2024년03월_당월인구수_여자인구수","2024년03월_당월인구수_계","2024년03월_인구증감_남자인구수","2024년03월_인구증감_여자인구수","2024년03월_인구증감_계"
"경상북도 경상북도 영주시 (4721000000)","49,793","50,706","100,499","50,002","50,845","100,847","209","139","348","50,002","50,845","100,847","49,955","50,791","100,746","-47","-54","-101","49,955","50,791","100,746","49,898","50,712","100,610","-57","-79","-136","49,898","50,712","100,610","49,834","50,657","100,491","-64","-55","-119","49,834","50,657","100,491","49,752","50,611","100,363","-82","-46","-128","49,752","50,611","100,363","49,659","50,537","100,196","-93","-74","-167","49,659","50,537","100,196","49,553","50,458","100,011","-106","-79","-185","49,553","50,458","100,011","49,745","50,463","100,208","192","5","197","49,745","50,463","100,208","49,756","50,460","100,216","11","-3","8","49,756","50,460","100,216","49,730","50,469","100,199","-26","9","-17","49,730","50,469","100,199","49,727","50,373","100,100","-3","-96","-99","49,727","50,373","100,100","49,672","50,294","99,966","-55","-79","-134","49,672","50,294","99,966","49,729","50,343","100,072","57","49","106"
"경상북도 영주시 풍기읍(4721025000)","5,105","5,140","10,245","5,248","5,234","10,482","143","94","237","5,248","5,234","10,482","5,252","5,245","10,497","4","11","15","5,252","5,245","10,497","5,249","5,234","10,483","-3","-11","-14","5,249","5,234","10,483","5,251","5,231","10,482","2","-3","-1","5,251","5,231","10,482","5,232","5,230","10,462","-19","-1","-20","5,232","5,230","10,462","5,226","5,223","10,449","-6","-7","-13","5,226","5,223","10,449","5,207","5,220","10,427","-19","-3","-22","5,207","5,220","10,427","5,339","5,212","10,551","132","-8","124","5,339","5,212","10,551","5,334","5,202","10,536","-5","-10","-15","5,334","5,202","10,536","5,325","5,190","10,515","-9","-12","-21","5,325","5,190","10,515","5,390","5,168","10,558","65","-22","43","5,390","5,168","10,558","5,396","5,157","10,553","6","-11","-5","5,396","5,157","10,553","5,417","5,163","10,580","21","6","27"
"경상북도 영주시 이산면(4721031000)","1,159","1,074","2,233","1,158","1,082","2,240","-1","8","7","1,158","1,082","2,240","1,155","1,084","2,239","-3","2","-1","1,155","1,084","2,239","1,145","1,084","2,229","-10","0","-10","1,145","1,084","2,229","1,148","1,083","2,231","3","-1","2","1,148","1,083","2,231","1,145","1,086","2,231","-3","3","0","1,145","1,086","2,231","1,141","1,086","2,227","-4","0","-4","1,141","1,086","2,227","1,129","1,081","2,210","-12","-5","-17","1,129","1,081","2,210","1,124","1,076","2,200","-5","-5","-10","1,124","1,076","2,200","1,121","1,072","2,193","-3","-4","-7","1,121","1,072","2,193","1,127","1,066","2,193","6","-6","0","1,127","1,066","2,193","1,127","1,067","2,194","0","1","1","1,127","1,067","2,194","1,133","1,066","2,199","6","-1","5","1,133","1,066","2,199","1,132","1,063","2,195","-1","-3","-4"
"경상북도 영주시 평은면(4721032000)","725","703","1,428","728","698","1,426","3","-5","-2","728","698","1,426","731","696","1,427","3","-2","1","731","696","1,427","726","695","1,421","-5","-1","-6","726","695","1,421","722","695","1,417","-4","0","-4","722","695","1,417","722","692","1,414","0","-3","-3","722","692","1,414","721","689","1,410","-1","-3","-4","721","689","1,410","713","681","1,394","-8","-8","-16","713","681","1,394","713","678","1,391","0","-3","-3","713","678","1,391","716","676","1,392","3","-2","1","716","676","1,392","722","683","1,405","6","7","13","722","683","1,405","725","685","1,410","3","2","5","725","685","1,410","727","686","1,413","2","1","3","727","686","1,413","720","681","1,401","-7","-5","-12"
"경상북도 영주시 문수면(4721033000)","1,002","936","1,938","1,000","934","1,934","-2","-2","-4","1,000","934","1,934","1,002","930","1,932","2","-4","-2","1,002","930","1,932","1,009","934","1,943","7","4","11","1,009","934","1,943","1,008","939","1,947","-1","5","4","1,008","939","1,947","1,001","941","1,942","-7","2","-5","1,001","941","1,942","1,001","939","1,940","0","-2","-2","1,001","939","1,940","993","932","1,925","-8","-7","-15","993","932","1,925","995","930","1,925","2","-2","0","995","930","1,925","989","931","1,920","-6","1","-5","989","931","1,920","984","935","1,919","-5","4","-1","984","935","1,919","990","927","1,917","6","-8","-2","990","927","1,917","989","925","1,914","-1","-2","-3","989","925","1,914","988","921","1,909","-1","-4","-5"
"경상북도 영주시 장수면(4721034000)","1,074","1,029","2,103","1,074","1,029","2,103","0","0","0","1,074","1,029","2,103","1,070","1,022","2,092","-4","-7","-11","1,070","1,022","2,092","1,073","1,020","2,093","3","-2","1","1,073","1,020","2,093","1,074","1,021","2,095","1","1","2","1,074","1,021","2,095","1,071","1,014","2,085","-3","-7","-10","1,071","1,014","2,085","1,062","1,014","2,076","-9","0","-9","1,062","1,014","2,076","1,063","1,011","2,074","1","-3","-2","1,063","1,011","2,074","1,058","1,013","2,071","-5","2","-3","1,058","1,013","2,071","1,061","1,014","2,075","3","1","4","1,061","1,014","2,075","1,064","1,014","2,078","3","0","3","1,064","1,014","2,078","1,057","1,011","2,068","-7","-3","-10","1,057","1,011","2,068","1,051","1,007","2,058","-6","-4","-10","1,051","1,007","2,058","1,045","1,011","2,056","-6","4","-2"
"경상북도 영주시 안정면(4721035000)","1,430","1,448","2,878","1,427","1,435","2,862","-3","-13","-16","1,427","1,435","2,862","1,425","1,426","2,851","-2","-9","-11","1,425","1,426","2,851","1,422","1,421","2,843","-3","-5","-8","1,422","1,421","2,843","1,419","1,425","2,844","-3","4","1","1,419","1,425","2,844","1,422","1,431","2,853","3","6","9","1,422","1,431","2,853","1,417","1,427","2,844","-5","-4","-9","1,417","1,427","2,844","1,418","1,425","2,843","1","-2","-1","1,418","1,425","2,843","1,425","1,426","2,851","7","1","8","1,425","1,426","2,851","1,432","1,423","2,855","7","-3","4","1,432","1,423","2,855","1,430","1,416","2,846","-2","-7","-9","1,430","1,416","2,846","1,433","1,408","2,841","3","-8","-5","1,433","1,408","2,841","1,433","1,410","2,843","0","2","2","1,433","1,410","2,843","1,432","1,405","2,837","-1","-5","-6"
"경상북도 영주시 봉현면(4721036000)","1,330","1,277","2,607","1,326","1,279","2,605","-4","2","-2","1,326","1,279","2,605","1,322","1,284","2,606","-4","5","1","1,322","1,284","2,606","1,322","1,292","2,614","0","8","8","1,322","1,292","2,614","1,311","1,289","2,600","-11","-3","-14","1,311","1,289","2,600","1,304","1,286","2,590","-7","-3","-10","1,304","1,286","2,590","1,301","1,280","2,581","-3","-6","-9","1,301","1,280","2,581","1,299","1,275","2,574","-2","-5","-7","1,299","1,275","2,574","1,301","1,273","2,574","2","-2","0","1,301","1,273","2,574","1,301","1,260","2,561","0","-13","-13","1,301","1,260","2,561","1,295","1,271","2,566","-6","11","5","1,295","1,271","2,566","1,291","1,264","2,555","-4","-7","-11","1,291","1,264","2,555","1,289","1,263","2,552","-2","-1","-3","1,289","1,263","2,552","1,292","1,259","2,551","3","-4","-1"
"경상북도 영주시 순흥면(4721037000)","982","963","1,945","982","953","1,935","0","-10","-10","982","953","1,935","982","944","1,926","0","-9","-9","982","944","1,926","983","945","1,928","1","1","2","983","945","1,928","981","941","1,922","-2","-4","-6","981","941","1,922","977","937","1,914","-4","-4","-8","977","937","1,914","976","936","1,912","-1","-1","-2","976","936","1,912","971","931","1,902","-5","-5","-10","971","931","1,902","970","929","1,899","-1","-2","-3","970","929","1,899","966","927","1,893","-4","-2","-6","966","927","1,893","953","925","1,878","-13","-2","-15","953","925","1,878","953","933","1,886","0","8","8","953","933","1,886","949","934","1,883","-4","1","-3","949","934","1,883","965","934","1,899","16","0","16"
"경상북도 영주시 단산면(4721038000)","876","919","1,795","882","922","1,804","6","3","9","882","922","1,804","882","919","1,801","0","-3","-3","882","919","1,801","872","912","1,784","-10","-7","-17","872","912","1,784","875","910","1,785","3","-2","1","875","910","1,785","877","910","1,787","2","0","2","877","910","1,787","872","901","1,773","-5","-9","-14","872","901","1,773","869","905","1,774","-3","4","1","869","905","1,774","870","908","1,778","1","3","4","870","908","1,778","869","901","1,770","-1","-7","-8","869","901","1,770","865","897","1,762","-4","-4","-8","865","897","1,762","863","895","1,758","-2","-2","-4","863","895","1,758","866","893","1,759","3","-2","1","866","893","1,759","863","891","1,754","-3","-2","-5"
