"행정구역","2023년03월_전체","2023년03월_남자","2023년03월_여자","2023년03월_아동전체","2023년03월_아동남자","2023년03월_아동여자","2023년03월_청소년전체","2023년03월_청소년남자","2023년03월_청소년여자","2023년03월_청년전체","2023년03월_청년남자","2023년03월_청년여자","2023년04월_전체","2023년04월_남자","2023년04월_여자","2023년04월_아동전체","2023년04월_아동남자","2023년04월_아동여자","2023년04월_청소년전체","2023년04월_청소년남자","2023년04월_청소년여자","2023년04월_청년전체","2023년04월_청년남자","2023년04월_청년여자","2023년05월_전체","2023년05월_남자","2023년05월_여자","2023년05월_아동전체","2023년05월_아동남자","2023년05월_아동여자","2023년05월_청소년전체","2023년05월_청소년남자","2023년05월_청소년여자","2023년05월_청년전체","2023년05월_청년남자","2023년05월_청년여자","2023년06월_전체","2023년06월_남자","2023년06월_여자","2023년06월_아동전체","2023년06월_아동남자","2023년06월_아동여자","2023년06월_청소년전체","2023년06월_청소년남자","2023년06월_청소년여자","2023년06월_청년전체","2023년06월_청년남자","2023년06월_청년여자","2023년07월_전체","2023년07월_남자","2023년07월_여자","2023년07월_아동전체","2023년07월_아동남자","2023년07월_아동여자","2023년07월_청소년전체","2023년07월_청소년남자","2023년07월_청소년여자","2023년07월_청년전체","2023년07월_청년남자","2023년07월_청년여자","2023년08월_전체","2023년08월_남자","2023년08월_여자","2023년08월_아동전체","2023년08월_아동남자","2023년08월_아동여자","2023년08월_청소년전체","2023년08월_청소년남자","2023년08월_청소년여자","2023년08월_청년전체","2023년08월_청년남자","2023년08월_청년여자","2023년09월_전체","2023년09월_남자","2023년09월_여자","2023년09월_아동전체","2023년09월_아동남자","2023년09월_아동여자","2023년09월_청소년전체","2023년09월_청소년남자","2023년09월_청소년여자","2023년09월_청년전체","2023년09월_청년남자","2023년09월_청년여자","2023년10월_전체","2023년10월_남자","2023년10월_여자","2023년10월_아동전체","2023년10월_아동남자","2023년10월_아동여자","2023년10월_청소년전체","2023년10월_청소년남자","2023년10월_청소년여자","2023년10월_청년전체","2023년10월_청년남자","2023년10월_청년여자","2023년11월_전체","2023년11월_남자","2023년11월_여자","2023년11월_아동전체","2023년11월_아동남자","2023년11월_아동여자","2023년11월_청소년전체","2023년11월_청소년남자","2023년11월_청소년여자","2023년11월_청년전체","2023년11월_청년남자","2023년11월_청년여자","2023년12월_전체","2023년12월_남자","2023년12월_여자","2023년12월_아동전체","2023년12월_아동남자","2023년12월_아동여자","2023년12월_청소년전체","2023년12월_청소년남자","2023년12월_청소년여자","2023년12월_청년전체","2023년12월_청년남자","2023년12월_청년여자","2024년01월_전체","2024년01월_남자","2024년01월_여자","2024년01월_아동전체","2024년01월_아동남자","2024년01월_아동여자","2024년01월_청소년전체","2024년01월_청소년남자","2024년01월_청소년여자","2024년01월_청년전체","2024년01월_청년남자","2024년01월_청년여자","2024년02월_전체","2024년02월_남자","2024년02월_여자","2024년02월_아동전체","2024년02월_아동남자","2024년02월_아동여자","2024년02월_청소년전체","2024년02월_청소년남자","2024년02월_청소년여자","2024년02월_청년전체","2024년02월_청년남자","2024년02월_청년여자","2024년03월_전체","2024년03월_남자","2024년03월_여자","2024년03월_아동전체","2024년03월_아동남자","2024년03월_아동여자","2024년03월_청소년전체","2024년03월_청소년남자","2024년03월_청소년여자","2024년03월_청년전체","2024년03월_청년남자","2024년03월_청년여자"
"경상북도 경상북도 영주시 (4721000000)","100,847","50,002","50,845","11,992","6,237","5,755","14,362","7,742","6,620","13,782","7,896","5,886","100,746","49,955","50,791","11,927","6,197","5,730","14,315","7,721","6,594","13,826","7,920","5,906","100,610","49,898","50,712","11,865","6,171","5,694","14,276","7,699","6,577","13,806","7,905","5,901","100,491","49,834","50,657","11,803","6,129","5,674","14,217","7,686","6,531","13,804","7,910","5,894","100,363","49,752","50,611","11,754","6,103","5,651","14,160","7,637","6,523","13,815","7,901","5,914","100,196","49,659","50,537","11,720","6,084","5,636","14,067","7,592","6,475","13,732","7,845","5,887","100,011","49,553","50,458","11,670","6,052","5,618","14,050","7,581","6,469","13,704","7,821","5,883","100,208","49,745","50,463","11,815","6,175","5,640","14,207","7,725","6,482","13,748","7,854","5,894","100,216","49,756","50,460","11,763","6,148","5,615","14,197","7,720","6,477","13,787","7,875","5,912","100,199","49,730","50,469","11,800","6,180","5,620","14,204","7,711","6,493","13,769","7,837","5,932","100,100","49,727","50,373","11,818","6,225","5,593","14,230","7,757","6,473","13,701","7,797","5,904","99,966","49,672","50,294","11,778","6,209","5,569","14,153","7,734","6,419","13,601","7,736","5,865","100,072","49,729","50,343","11,770","6,187","5,583","14,313","7,809","6,504","13,622","7,755","5,867"
"경상북도 영주시 풍기읍(4721025000)","10,482","5,248","5,234","925","501","424","1,426","817","609","1,378","840","538","10,497","5,252","5,245","928","500","428","1,445","828","617","1,398","852","546","10,483","5,249","5,234","920","495","425","1,445","827","618","1,405","855","550","10,482","5,251","5,231","918","491","427","1,446","829","617","1,408","854","554","10,462","5,232","5,230","922","493","429","1,435","818","617","1,399","844","555","10,449","5,226","5,223","923","495","428","1,430","817","613","1,401","842","559","10,427","5,207","5,220","916","490","426","1,434","816","618","1,401","837","564","10,551","5,339","5,212","1,030","607","423","1,569","953","616","1,419","851","568","10,536","5,334","5,202","1,016","601","415","1,562","948","614","1,438","857","581","10,515","5,325","5,190","1,008","595","413","1,542","935","607","1,437","858","579","10,558","5,390","5,168","1,103","687","416","1,606","1,012","594","1,402","841","561","10,553","5,396","5,157","1,090","679","411","1,587","1,013","574","1,388","838","550","10,580","5,417","5,163","1,080","669","411","1,618","1,035","583","1,413","854","559"
"경상북도 영주시 이산면(4721031000)","2,240","1,158","1,082","105","53","52","155","82","73","195","113","82","2,239","1,155","1,084","105","52","53","152","80","72","194","112","82","2,229","1,145","1,084","104","52","52","154","81","73","193","109","84","2,231","1,148","1,083","106","53","53","149","78","71","190","108","82","2,231","1,145","1,086","106","52","54","154","82","72","192","110","82","2,227","1,141","1,086","105","53","52","155","82","73","189","108","81","2,210","1,129","1,081","104","53","51","153","82","71","187","107","80","2,200","1,124","1,076","104","53","51","156","85","71","188","109","79","2,193","1,121","1,072","103","53","50","155","82","73","192","111","81","2,193","1,127","1,066","104","54","50","153","81","72","196","114","82","2,194","1,127","1,067","106","55","51","155","82","73","199","114","85","2,199","1,133","1,066","103","53","50","148","78","70","199","115","84","2,195","1,132","1,063","107","56","51","150","78","72","195","112","83"
"경상북도 영주시 평은면(4721032000)","1,426","728","698","60","28","32","80","42","38","80","52","28","1,427","731","696","62","30","32","81","43","38","83","55","28","1,421","726","695","62","30","32","78","40","38","81","53","28","1,417","722","695","60","30","30","77","39","38","80","52","28","1,414","722","692","59","30","29","76","38","38","83","54","29","1,410","721","689","59","30","29","74","36","38","81","53","28","1,394","713","681","54","26","28","74","36","38","82","54","28","1,391","713","678","51","24","27","74","36","38","82","54","28","1,392","716","676","51","24","27","74","36","38","83","56","27","1,405","722","683","53","25","28","77","37","40","85","58","27","1,410","725","685","53","25","28","76","37","39","84","57","27","1,413","727","686","53","25","28","75","38","37","84","57","27","1,401","720","681","51","23","28","74","37","37","85","57","28"
"경상북도 영주시 문수면(4721033000)","1,934","1,000","934","119","63","56","138","75","63","172","106","66","1,932","1,002","930","117","63","54","135","75","60","172","108","64","1,943","1,009","934","116","63","53","131","75","56","172","110","62","1,947","1,008","939","115","63","52","132","76","56","175","111","64","1,942","1,001","941","117","63","54","130","75","55","171","107","64","1,940","1,001","939","118","63","55","134","77","57","170","106","64","1,925","993","932","114","60","54","132","75","57","169","106","63","1,925","995","930","112","58","54","132","74","58","168","104","64","1,920","989","931","112","58","54","131","73","58","164","100","64","1,919","984","935","110","55","55","127","69","58","163","99","64","1,917","990","927","111","58","53","126","71","55","165","100","65","1,914","989","925","106","55","51","118","67","51","165","102","63","1,909","988","921","109","56","53","116","65","51","161","100","61"
"경상북도 영주시 장수면(4721034000)","2,103","1,074","1,029","123","68","55","149","82","67","200","116","84","2,092","1,070","1,022","124","69","55","146","81","65","197","116","81","2,093","1,073","1,020","124","70","54","148","82","66","193","112","81","2,095","1,074","1,021","122","68","54","150","83","67","192","112","80","2,085","1,071","1,014","120","68","52","150","82","68","191","109","82","2,076","1,062","1,014","118","66","52","148","80","68","186","106","80","2,074","1,063","1,011","116","66","50","149","80","69","188","108","80","2,071","1,058","1,013","111","62","49","151","81","70","191","107","84","2,075","1,061","1,014","109","61","48","150","80","70","193","109","84","2,078","1,064","1,014","108","60","48","145","78","67","190","108","82","2,068","1,057","1,011","101","54","47","142","77","65","192","109","83","2,058","1,051","1,007","99","54","45","142","78","64","191","108","83","2,056","1,045","1,011","101","55","46","140","76","64","188","103","85"
"경상북도 영주시 안정면(4721035000)","2,862","1,427","1,435","153","78","75","189","110","79","225","136","89","2,851","1,425","1,426","148","78","70","181","107","74","222","133","89","2,843","1,422","1,421","147","78","69","180","107","73","220","133","87","2,844","1,419","1,425","149","78","71","175","104","71","216","131","85","2,853","1,422","1,431","151","79","72","173","101","72","218","129","89","2,844","1,417","1,427","154","80","74","172","101","71","213","127","86","2,843","1,418","1,425","159","85","74","177","104","73","220","132","88","2,851","1,425","1,426","160","85","75","179","106","73","227","138","89","2,855","1,432","1,423","159","84","75","181","108","73","227","139","88","2,846","1,430","1,416","160","85","75","178","106","72","224","138","86","2,841","1,433","1,408","151","80","71","177","106","71","225","141","84","2,843","1,433","1,410","150","80","70","177","106","71","223","140","83","2,837","1,432","1,405","154","83","71","174","104","70","220","139","81"
"경상북도 영주시 봉현면(4721036000)","2,605","1,326","1,279","143","70","73","181","100","81","201","123","78","2,606","1,322","1,284","143","69","74","179","98","81","201","121","80","2,614","1,322","1,292","140","68","72","172","92","80","202","119","83","2,600","1,311","1,289","139","68","71","170","92","78","203","119","84","2,590","1,304","1,286","135","64","71","166","89","77","203","121","82","2,581","1,301","1,280","134","63","71","164","88","76","200","118","82","2,574","1,299","1,275","132","62","70","162","87","75","199","118","81","2,574","1,301","1,273","133","63","70","160","85","75","194","114","80","2,561","1,301","1,260","129","61","68","160","86","74","195","117","78","2,566","1,295","1,271","133","62","71","167","86","81","196","114","82","2,555","1,291","1,264","126","60","66","161","81","80","192","108","84","2,552","1,289","1,263","126","60","66","162","80","82","191","106","85","2,551","1,292","1,259","126","61","65","158","78","80","187","105","82"
"경상북도 영주시 순흥면(4721037000)","1,935","982","953","77","46","31","113","67","46","141","93","48","1,926","982","944","75","44","31","109","65","44","139","94","45","1,928","983","945","76","45","31","108","65","43","140","95","45","1,922","981","941","76","45","31","108","66","42","141","97","44","1,914","977","937","72","43","29","106","64","42","139","96","43","1,912","976","936","72","43","29","103","61","42","140","95","45","1,902","971","931","70","42","28","102","61","41","136","94","42","1,899","970","929","70","42","28","102","61","41","137","94","43","1,893","966","927","69","41","28","101","60","41","138","94","44","1,878","953","925","69","41","28","97","56","41","123","80","43","1,886","953","933","70","42","28","98","56","42","123","77","46","1,883","949","934","69","41","28","96","55","41","123","77","46","1,899","965","934","69","41","28","105","62","43","140","93","47"
"경상북도 영주시 단산면(4721038000)","1,804","882","922","66","40","26","106","66","40","127","82","45","1,801","882","919","62","38","24","104","65","39","128","83","45","1,784","872","912","62","38","24","100","61","39","124","79","45","1,785","875","910","59","36","23","98","60","38","126","81","45","1,787","877","910","61","37","24","98","61","37","127","81","46","1,773","872","901","58","34","24","95","59","36","124","81","43","1,774","869","905","58","34","24","94","58","36","120","78","42","1,778","870","908","58","34","24","94","58","36","122","79","43","1,770","869","901","58","34","24","95","59","36","119","78","41","1,762","865","897","57","34","23","94","58","36","118","78","40","1,758","863","895","56","33","23","90","57","33","114","75","39","1,759","866","893","57","34","23","90","58","32","114","77","37","1,754","863","891","56","33","23","91","59","32","116","78","38"
