"행정구역","2023년03월_남자인구수","2023년03월_여자인구수","2023년03월_계","2023년04월_남자인구수","2023년04월_여자인구수","2023년04월_계","2023년05월_남자인구수","2023년05월_여자인구수","2023년05월_계","2023년06월_남자인구수","2023년06월_여자인구수","2023년06월_계","2023년07월_남자인구수","2023년07월_여자인구수","2023년07월_계","2023년08월_남자인구수","2023년08월_여자인구수","2023년08월_계","2023년09월_남자인구수","2023년09월_여자인구수","2023년09월_계","2023년10월_남자인구수","2023년10월_여자인구수","2023년10월_계","2023년11월_남자인구수","2023년11월_여자인구수","2023년11월_계","2023년12월_남자인구수","2023년12월_여자인구수","2023년12월_계","2024년01월_남자인구수","2024년01월_여자인구수","2024년01월_계","2024년02월_남자인구수","2024년02월_여자인구수","2024년02월_계","2024년03월_남자인구수","2024년03월_여자인구수","2024년03월_계"
"경상북도 경상북도 영주시 (4721000000)","11","16","27","7","12","19","11","10","21","11","12","23","15","12","27","13","21","34","8","8","16","18","12","30","14","13","27","16","9","25","7","10","17","19","14","33","11","9","20"
"경상북도 영주시 풍기읍(4721025000)","1","1","2","1","2","3","0","0","0","1","2","3","2","0","2","0","1","1","0","1","1","1","0","1","0","0","0","3","1","4","1","2","3","1","2","3","3","1","4"
"경상북도 영주시 이산면(4721031000)","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상북도 영주시 평은면(4721032000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상북도 영주시 문수면(4721033000)","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1"
"경상북도 영주시 장수면(4721034000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상북도 영주시 안정면(4721035000)","0","0","0","0","0","0","0","1","1","0","0","0","2","0","2","1","0","1","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","1","0","1"
"경상북도 영주시 봉현면(4721036000)","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상북도 영주시 순흥면(4721037000)","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상북도 영주시 단산면(4721038000)","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상북도 영주시 부석면(4721039000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"경상북도 영주시 상망동(4721051000)","1","1","2","1","1","2","1","0","1","1","2","3","0","0","0","1","0","1","1","0","1","1","2","3","0","0","0","0","1","1","1","0","1","0","1","1","1","0","1"
"경상북도 영주시 하망동(4721052500)","0","1","1","0","2","2","1","0","1","0","0","0","0","2","2","2","1","3","1","0","1","3","0","3","1","0","1","1","3","4","0","0","0","1","2","3","1","0","1"
"경상북도 영주시 영주1동(4721055000)","1","1","2","0","0","0","1","0","1","1","0","1","1","0","1","1","0","1","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상북도 영주시 영주2동(4721056000)","0","0","0","0","0","0","0","0","0","1","2","3","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","1","1","0","0","0","1","0","1","0","0","0"
"경상북도 영주시 휴천1동(4721059000)","1","0","1","1","1","2","1","1","2","1","0","1","0","0","0","1","2","3","2","1","3","1","2","3","0","1","1","1","0","1","0","1","1","0","1","1","0","0","0"
"경상북도 영주시 휴천2동(4721060000)","2","1","3","1","1","2","2","0","2","2","1","3","2","1","3","1","2","3","0","2","2","0","2","2","1","3","4","0","0","0","1","0","1","3","3","6","0","1","1"
"경상북도 영주시 휴천3동(4721061000)","1","1","2","0","1","1","1","0","1","0","2","2","0","1","1","3","4","7","2","0","2","2","1","3","2","0","2","3","0","3","0","2","2","1","1","2","0","0","0"
"경상북도 영주시 가흥1동(4721062000)","2","7","9","2","1","3","2","6","8","3","2","5","4","4","8","1","6","7","1","2","3","3","0","3","7","2","9","3","2","5","3","1","4","5","0","5","3","4","7"
"경상북도 영주시 가흥2동(4721063000)","2","2","4","1","3","4","1","2","3","1","0","1","4","0","4","2","4","6","1","1","2","6","4","10","2","6","8","2","1","3","1","3","4","7","4","11","1","3","4"
