"행정구역","2023년09월_계_총인구수","2023년09월_계_연령구간인구수","2023년09월_계_0~9세","2023년09월_계_10~19세","2023년09월_계_20~29세","2023년09월_계_30~39세","2023년09월_계_40~49세","2023년09월_계_50~59세","2023년09월_계_60~69세","2023년09월_계_70~79세","2023년09월_계_80~89세","2023년09월_계_90~99세","2023년09월_계_100세 이상","2023년09월_남_총인구수","2023년09월_남_연령구간인구수","2023년09월_남_0~9세","2023년09월_남_10~19세","2023년09월_남_20~29세","2023년09월_남_30~39세","2023년09월_남_40~49세","2023년09월_남_50~59세","2023년09월_남_60~69세","2023년09월_남_70~79세","2023년09월_남_80~89세","2023년09월_남_90~99세","2023년09월_남_100세 이상","2023년09월_여_총인구수","2023년09월_여_연령구간인구수","2023년09월_여_0~9세","2023년09월_여_10~19세","2023년09월_여_20~29세","2023년09월_여_30~39세","2023년09월_여_40~49세","2023년09월_여_50~59세","2023년09월_여_60~69세","2023년09월_여_70~79세","2023년09월_여_80~89세","2023년09월_여_90~99세","2023년09월_여_100세 이상"
"경상북도 경상북도 영주시 (4721000000)","100,011","100,011","4,998","8,597","8,892","7,617","12,479","17,013","19,237","12,248","7,709","1,187","34","49,553","49,553","2,589","4,491","5,102","4,175","6,353","8,862","9,384","5,564","2,765","262","6","50,458","50,458","2,409","4,106","3,790","3,442","6,126","8,151","9,853","6,684","4,944","925","28"
"경상북도 영주시 풍기읍(4721025000)","10,427","10,427","362","778","953","624","1,034","1,685","2,384","1,510","936","153","8","5,207","5,207","183","417","603","331","546","898","1,159","689","339","40","2","5,220","5,220","179","361","350","293","488","787","1,225","821","597","113","6"
"경상북도 영주시 이산면(4721031000)","2,210","2,210","32","87","128","107","141","401","620","348","292","54","0","1,129","1,129","17","41","80","55","78","224","350","170","101","13","0","1,081","1,081","15","46","48","52","63","177","270","178","191","41","0"
"경상북도 영주시 평은면(4721032000)","1,394","1,394","16","49","50","44","90","244","356","278","221","44","2","713","713","11","21","34","27","62","133","192","132","87","12","2","681","681","5","28","16","17","28","111","164","146","134","32","0"
"경상북도 영주시 문수면(4721033000)","1,925","1,925","53","78","98","107","141","306","503","314","256","66","3","993","993","29","41","52","73","86","172","280","157","88","15","0","932","932","24","37","46","34","55","134","223","157","168","51","3"
"경상북도 영주시 장수면(4721034000)","2,074","2,074","48","89","121","104","152","314","532","354","289","66","5","1,063","1,063","30","47","69","60","98","176","290","176","106","11","0","1,011","1,011","18","42","52","44","54","138","242","178","183","55","5"
"경상북도 영주시 안정면(4721035000)","2,843","2,843","69","115","121","135","208","454","731","516","415","77","2","1,418","1,418","36","65","72","81","131","256","378","243","138","18","0","1,425","1,425","33","50","49","54","77","198","353","273","277","59","2"
"경상북도 영주시 봉현면(4721036000)","2,574","2,574","56","106","115","107","216","424","747","478","269","54","2","1,299","1,299","24","53","71","59","128","221","390","233","105","14","1","1,275","1,275","32","53","44","48","88","203","357","245","164","40","1"
"경상북도 영주시 순흥면(4721037000)","1,902","1,902","23","60","94","69","115","311","570","366","259","34","1","971","971","12","37","65","41","69","159","295","184","99","9","1","931","931","11","23","29","28","46","152","275","182","160","25","0"
"경상북도 영주시 단산면(4721038000)","1,774","1,774","16","48","80","68","108","298","491","348","275","41","1","869","869","8","30","57","36","70","150","275","160","79","4","0","905","905","8","18","23","32","38","148","216","188","196","37","1"
