광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
경상북도,봉화군,964717.0
경상북도,안동시,964513.0
경상북도,예천군,525575.0
경상북도,구미시,163963.0
경상북도,경산시,135596.0
경상북도,울진군,77695.0
경상북도,상주시,76777.0
경상북도,포항시 북구,70724.0
경상북도,문경시,63806.0
경상북도,경주시,63761.0
경상북도,포항시 남구,51430.0
경상북도,의성군,45452.0
경상북도,칠곡군,42361.0
경상북도,김천시,41874.0
경상북도,영천시,28748.0
경상북도,영양군,25813.0
경상북도,청송군,25307.0
경상북도,영덕군,17769.0
경상북도,성주군,9869.0
경상북도,청도군,6345.0
경상북도,고령군,6230.0
경상북도,울릉군,2559.0
경기도,화성시,100043.0
경기도,남양주시,75854.0
경기도,평택시,64009.0
경기도,부천시,53151.0
경기도,광주시,49821.0
경기도,성남시 분당구,49264.0
경기도,용인시 기흥구,48196.0
경기도,시흥시,46162.0
경기도,고양시 덕양구,42219.0
경기도,용인시 수지구,41236.0
경기도,수원시 영통구,38664.0
경기도,수원시 권선구,38228.0
경기도,하남시,37948.0
경기도,의정부시,36589.0
경기도,용인시 처인구,36470.0
경기도,김포시,35351.0
경기도,안양시 동안구,33494.0
경기도,안산시 단원구,31922.0
경기도,이천시,31821.0
경기도,안산시 상록구,30539.0
경기도,성남시 수정구,29554.0
경기도,파주시,27701.0
경기도,수원시 장안구,27668.0
경기도,오산시,26166.0
경기도,구리시,26066.0
경기도,군포시,25151.0
경기도,고양시 일산동구,24997.0
경기도,수원시 팔달구,24997.0
경기도,안성시,24097.0
경기도,광명시,22373.0
경기도,고양시 일산서구,22097.0
경기도,양주시,21739.0
경기도,양평군,20842.0
경기도,안양시 만안구,20609.0
경기도,여주시,20334.0
경기도,성남시 중원구,19525.0
경기도,의왕시,17205.0
경기도,포천시,14064.0
경기도,부천시 원미구,8875.0
경기도,과천시,8727.0
경기도,동두천시,7272.0
경기도,가평군,6961.0
경기도,부천시 소사구,4931.0
경기도,연천군,3527.0
경기도,부천시 오정구,2256.0
서울특별시,송파구,71907.0
서울특별시,강동구,58910.0
서울특별시,강남구,55910.0
서울특별시,관악구,55470.0
서울특별시,노원구,54424.0
서울특별시,강서구,49042.0
서울특별시,성북구,48157.0
