순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,
1,경상북도,영주시,소수서원,202304,148.0,1588.0
1,경상북도,영주시,소수서원,202305,135.0,1588.0
1,경상북도,영주시,소수서원,202306,14.0,1588.0
1,경상북도,영주시,소수서원,202307,103.0,1588.0
1,경상북도,영주시,소수서원,202308,93.0,1588.0
1,경상북도,영주시,소수서원,202309,215.0,1588.0
1,경상북도,영주시,소수서원,202310,403.0,1588.0
1,경상북도,영주시,소수서원,202311,254.0,1588.0
1,경상북도,영주시,소수서원,202312,223.0,1588.0
1,경상북도,영주시,소수서원,202401,0.0,1588.0
1,경상북도,영주시,소수서원,202402,0.0,1588.0
1,경상북도,영주시,소수서원,202403,0.0,1588.0
2,경상북도,영주시,소백산 풍기온천,202304,40.0,306.0
2,경상북도,영주시,소백산 풍기온천,202305,52.0,306.0
2,경상북도,영주시,소백산 풍기온천,202306,15.0,306.0
2,경상북도,영주시,소백산 풍기온천,202307,25.0,306.0
2,경상북도,영주시,소백산 풍기온천,202308,25.0,306.0
2,경상북도,영주시,소백산 풍기온천,202309,30.0,306.0
2,경상북도,영주시,소백산 풍기온천,202310,38.0,306.0
2,경상북도,영주시,소백산 풍기온천,202311,27.0,306.0
2,경상북도,영주시,소백산 풍기온천,202312,54.0,306.0
2,경상북도,영주시,소백산 풍기온천,202401,0.0,306.0
2,경상북도,영주시,소백산 풍기온천,202402,0.0,306.0
2,경상북도,영주시,소백산 풍기온천,202403,0.0,306.0
3,경상북도,영주시,부석사,202304,261.0,261.0
3,경상북도,영주시,부석사,202305,0.0,261.0
3,경상북도,영주시,부석사,202306,0.0,261.0
3,경상북도,영주시,부석사,202307,0.0,261.0
3,경상북도,영주시,부석사,202308,0.0,261.0
3,경상북도,영주시,부석사,202309,0.0,261.0
3,경상북도,영주시,부석사,202310,0.0,261.0
3,경상북도,영주시,부석사,202311,0.0,261.0
3,경상북도,영주시,부석사,202312,0.0,261.0
3,경상북도,영주시,부석사,202401,0.0,261.0
3,경상북도,영주시,부석사,202402,0.0,261.0
3,경상북도,영주시,부석사,202403,0.0,261.0
4,경상북도,영주시,영주호 오토캠핑장,202304,38.0,244.0
4,경상북도,영주시,영주호 오토캠핑장,202305,42.0,244.0
4,경상북도,영주시,영주호 오토캠핑장,202306,30.0,244.0
4,경상북도,영주시,영주호 오토캠핑장,202307,15.0,244.0
4,경상북도,영주시,영주호 오토캠핑장,202308,15.0,244.0
4,경상북도,영주시,영주호 오토캠핑장,202309,15.0,244.0
4,경상북도,영주시,영주호 오토캠핑장,202310,28.0,244.0
4,경상북도,영주시,영주호 오토캠핑장,202311,18.0,244.0
4,경상북도,영주시,영주호 오토캠핑장,202312,43.0,244.0
4,경상북도,영주시,영주호 오토캠핑장,202401,0.0,244.0
4,경상북도,영주시,영주호 오토캠핑장,202402,0.0,244.0
4,경상북도,영주시,영주호 오토캠핑장,202403,0.0,244.0
