순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,
1,경상북도,영주시,소수서원,202304,18077.0,162011.0
1,경상북도,영주시,소수서원,202305,22267.0,162011.0
1,경상북도,영주시,소수서원,202306,14793.0,162011.0
1,경상북도,영주시,소수서원,202307,8713.0,162011.0
1,경상북도,영주시,소수서원,202308,12969.0,162011.0
1,경상북도,영주시,소수서원,202309,17429.0,162011.0
1,경상북도,영주시,소수서원,202310,37951.0,162011.0
1,경상북도,영주시,소수서원,202311,22715.0,162011.0
1,경상북도,영주시,소수서원,202312,7097.0,162011.0
1,경상북도,영주시,소수서원,202401,0.0,162011.0
1,경상북도,영주시,소수서원,202402,0.0,162011.0
1,경상북도,영주시,소수서원,202403,0.0,162011.0
2,경상북도,영주시,소백산 풍기온천,202304,14838.0,131903.0
2,경상북도,영주시,소백산 풍기온천,202305,14146.0,131903.0
2,경상북도,영주시,소백산 풍기온천,202306,9903.0,131903.0
2,경상북도,영주시,소백산 풍기온천,202307,11736.0,131903.0
2,경상북도,영주시,소백산 풍기온천,202308,13148.0,131903.0
2,경상북도,영주시,소백산 풍기온천,202309,11700.0,131903.0
2,경상북도,영주시,소백산 풍기온천,202310,16188.0,131903.0
2,경상북도,영주시,소백산 풍기온천,202311,18095.0,131903.0
2,경상북도,영주시,소백산 풍기온천,202312,22149.0,131903.0
2,경상북도,영주시,소백산 풍기온천,202401,0.0,131903.0
2,경상북도,영주시,소백산 풍기온천,202402,0.0,131903.0
2,경상북도,영주시,소백산 풍기온천,202403,0.0,131903.0
3,경상북도,영주시,국립산림치유원,202304,7215.0,66343.0
3,경상북도,영주시,국립산림치유원,202305,11540.0,66343.0
3,경상북도,영주시,국립산림치유원,202306,11771.0,66343.0
3,경상북도,영주시,국립산림치유원,202307,5875.0,66343.0
3,경상북도,영주시,국립산림치유원,202308,7727.0,66343.0
3,경상북도,영주시,국립산림치유원,202309,4457.0,66343.0
3,경상북도,영주시,국립산림치유원,202310,6752.0,66343.0
3,경상북도,영주시,국립산림치유원,202311,5161.0,66343.0
3,경상북도,영주시,국립산림치유원,202312,5845.0,66343.0
3,경상북도,영주시,국립산림치유원,202401,0.0,66343.0
3,경상북도,영주시,국립산림치유원,202402,0.0,66343.0
3,경상북도,영주시,국립산림치유원,202403,0.0,66343.0
4,경상북도,영주시,부석사,202304,32661.0,32661.0
4,경상북도,영주시,부석사,202305,0.0,32661.0
4,경상북도,영주시,부석사,202306,0.0,32661.0
4,경상북도,영주시,부석사,202307,0.0,32661.0
4,경상북도,영주시,부석사,202308,0.0,32661.0
4,경상북도,영주시,부석사,202309,0.0,32661.0
4,경상북도,영주시,부석사,202310,0.0,32661.0
4,경상북도,영주시,부석사,202311,0.0,32661.0
4,경상북도,영주시,부석사,202312,0.0,32661.0
4,경상북도,영주시,부석사,202401,0.0,32661.0
4,경상북도,영주시,부석사,202402,0.0,32661.0
4,경상북도,영주시,부석사,202403,0.0,32661.0
5,경상북도,영주시,영주호 오토캠핑장,202304,1670.0,11901.0
5,경상북도,영주시,영주호 오토캠핑장,202305,1995.0,11901.0
5,경상북도,영주시,영주호 오토캠핑장,202306,1717.0,11901.0
5,경상북도,영주시,영주호 오토캠핑장,202307,583.0,11901.0
5,경상북도,영주시,영주호 오토캠핑장,202308,787.0,11901.0
5,경상북도,영주시,영주호 오토캠핑장,202309,1354.0,11901.0
5,경상북도,영주시,영주호 오토캠핑장,202310,1963.0,11901.0
5,경상북도,영주시,영주호 오토캠핑장,202311,1129.0,11901.0
5,경상북도,영주시,영주호 오토캠핑장,202312,703.0,11901.0
5,경상북도,영주시,영주호 오토캠핑장,202401,0.0,11901.0
5,경상북도,영주시,영주호 오토캠핑장,202402,0.0,11901.0
5,경상북도,영주시,영주호 오토캠핑장,202403,0.0,11901.0
6,경상북도,영주시,솔향기농촌체험마을,202304,388.0,4267.0
6,경상북도,영주시,솔향기농촌체험마을,202305,1002.0,4267.0
6,경상북도,영주시,솔향기농촌체험마을,202306,330.0,4267.0
6,경상북도,영주시,솔향기농촌체험마을,202307,358.0,4267.0
6,경상북도,영주시,솔향기농촌체험마을,202308,254.0,4267.0
6,경상북도,영주시,솔향기농촌체험마을,202309,252.0,4267.0
6,경상북도,영주시,솔향기농촌체험마을,202310,491.0,4267.0
6,경상북도,영주시,솔향기농촌체험마을,202311,544.0,4267.0
6,경상북도,영주시,솔향기농촌체험마을,202312,648.0,4267.0
6,경상북도,영주시,솔향기농촌체험마을,202401,0.0,4267.0
6,경상북도,영주시,솔향기농촌체험마을,202402,0.0,4267.0
6,경상북도,영주시,솔향기농촌체험마을,202403,0.0,4267.0
