순위,관광지명,주소,분류
1,부석사,경북 영주시 부석사로 345-0,종교성지
2,영주역,경북 영주시 선비로 64-0,교통시설
3,풍기역,경북 영주시 인삼로 1-0,교통시설
4,소수서원,경북 영주시 소백로 2740-0,역사유적지
5,소백산풍기온천리조트,경북 영주시 죽령로 1400-0,콘도미니엄
6,영주종합버스터미널,경북 영주시 대학로 352-0,교통시설
7,영주선비촌,경북 영주시 소백로 2796-0,역사유적지
8,선비세상,경북 영주시 선비세상로 1-0,테마공원
9,풍기인삼시장,경북 영주시 인삼로 8-0,시장
10,국립산림치유원,경북 영주시 테라피로 209-0,자연공원
11,희방사,경북 영주시 죽령로1720번길 278-0,종교성지
12,부석사무량수전,경북 영주시 부석사로 345-0,역사유적지
13,영주온천관광호텔,경북 영주시 대학로240번길 8-0,호텔
14,무섬외나무다리,경북 영주시 문평로 486-0,기타관광
15,영주호오토캠핑장,경북 영주시 강동로 26-0,캠핑
16,롯데시네마영주점,경북 영주시 구성로 417-0,공연시설
17,영주풍기인삼축제,경북 영주시 신재로 978-0,기타문화관광지
18,삼가야영장,경북 영주시 삼가로 509-0,캠핑
19,영주365시장,경북 영주시,시장
20,풍기관광호텔,경북 영주시 풍기로 53-0,호텔
21,영주온천랜드,경북 영주시 대학로240번길 6-0,웰니스관광
22,알토호텔,경북 영주시 꽃동산로1번길 10-0,호텔
23,호텔위즈,경북 영주시 선비로119번길 3-0,호텔
24,호텔스토리,경북 영주시 안풍로 200-3,모텔
24,풍기IC시외버스터미널,경북 영주시 소백로 1653-0,교통시설
26,부띠끄모텔오늘,경북 영주시 번영로173번길 41-0,모텔
27,영주댐물문화관,경북 영주시,전시시설
28,케이스비지니스호텔영주점,경북 영주시 구성로330번길 8-0,호텔
29,발리모텔,경북 영주시 중앙로45번길 7-0,모텔
30,아카데미모텔,경북 영주시 중앙로45번길 12-0,모텔
31,삼가탐방지원센터,경북 영주시 삼가로 476-0,기타관광
32,콩세계과학관,경북 영주시 영부로 23-0,전시시설
33,국민체육진흥공단경륜훈련원,경북 영주시 소백로 2384-30,육상레저스포츠
34,중앙시장,경북 영주시 영주로192번길 10-0,시장
35,산책무인텔,경북 영주시 소백로2273번길 33-0,모텔
36,케이스부띠크호텔영주점,경북 영주시 구성로320번길 19-0,호텔
37,코코호텔,경북 영주시 원당로79번길 9-0,모텔
38,휴스테이,경북 영주시 소백로 2143-5,모텔
39,부용대,경북 영주시,역사유적지
40,풍기역문화공원,경북 영주시 인삼로 2-11,도시공원
41,리치호텔,경북 영주시 대학로 15-0,호텔
42,영주호용마루공원,경북 영주시 수변로 50-8,도시공원
43,K호텔,경북 영주시 대동로 176-0,모텔
44,풍기중앙시장,경북 영주시 동성로 75-0,시장
45,여우생태관찰원,경북 영주시 소백로2481번길 33-0,전시시설
