중심 POI X 좌표,중심 POI Y 좌표,관광지명,주소,중심카테고리 명_대,분류,순위
128.6874,36.9989,부석사,경북 영주시 부석사로 345-0,관광지,역사관광,1
128.5802,36.9255,소수서원,경북 영주시 소백로 2740-0,관광지,역사관광,2
128.479,36.8883,소백산풍기온천리조트,경북 영주시 죽령로 1400-0,숙박,숙박,3
128.582,36.9276,영주선비촌,경북 영주시 소백로 2796-0,관광지,역사관광,4
128.4753,36.8594,국립산림치유원,경북 영주시 테라피로 209-0,관광지,자연관광,5
128.6198,36.7304,무섬외나무다리,경북 영주시 문평로 486-0,관광지,기타관광,6
128.5838,36.9317,선비세상,경북 영주시 선비세상로 1-0,관광지,문화관광,7
128.6874,36.9989,부석사무량수전,경북 영주시 부석사로 345-0,관광지,역사관광,8
128.5236,36.873,풍기인삼시장,경북 영주시 인삼로 8-0,관광지,쇼핑,9
128.6177,36.8271,롯데시네마/영주점,경북 영주시 구성로 417-0,관광지,문화관광,10
128.457,36.9199,희방사,경북 영주시 죽령로1720번길 278-0,관광지,역사관광,11
128.6229,36.8242,영주365시장,경북 영주시,관광지,쇼핑,12
128.6212,36.8091,홈플러스/영주점,경북 영주시 대학로 29-0,관광지,쇼핑,13
128.6052,36.8166,영주온천랜드,경북 영주시 대학로240번길 6-0,관광지,체험관광,14
128.5247,36.8697,풍기관광호텔,경북 영주시 풍기로 53-0,숙박,숙박,15
128.6057,36.8165,영주온천관광호텔,경북 영주시 대학로240번길 8-0,숙박,숙박,16
128.6628,36.9943,콩세계과학관,경북 영주시 영부로 23-0,관광지,문화관광,17
128.6218,36.8153,호텔위즈,경북 영주시 선비로119번길 3-0,숙박,숙박,18
128.5565,36.9141,여우생태관찰원,경북 영주시 소백로2481번길 33-0,관광지,문화관광,19
128.6231,36.8111,알토호텔,경북 영주시 꽃동산로1번길 10-0,숙박,숙박,20
128.5512,36.8662,호텔스토리,경북 영주시 안풍로 200-3,숙박,숙박,21
128.5181,36.8684,영주풍기인삼축제,경북 영주시 신재로 978-0,관광지,문화관광,22
128.6223,36.8266,부띠끄모텔오늘,경북 영주시 번영로173번길 41-0,숙박,숙박,23
128.6729,36.7292,용마루2공원,경북 영주시,관광지,문화관광,24
128.6781,36.7326,영주호용마루공원,경북 영주시 수변로 50-8,관광지,문화관광,25
