유형 중분류명,유형 소분류명,중분류 검색건 수,중분류 검색건 수(비율),소분류 검색건 수,소분류 검색건 수(비율)
기타관광,교통시설,175267,22.1,166767,95.2
기타관광,기타관광,175267,22.1,8500,4.8
레저스포츠,기타레저스포츠,5936,0.7,1932,32.5
레저스포츠,수상레저스포츠,5936,0.7,146,2.5
레저스포츠,육상레저스포츠,5936,0.7,3858,65.0
문화관광,도시/지역문화관광,43059,5.4,59,0.1
문화관광,도시공원,43059,5.4,6512,15.1
문화관광,복합관광시설,43059,5.4,14,0.0
문화관광,테마공원,43059,5.4,13103,30.4
문화관광,기타문화관광지,43059,5.4,6425,14.9
문화관광,레저스포츠시설,43059,5.4,482,1.1
문화관광,공연시설,43059,5.4,8331,19.3
문화관광,전시시설,43059,5.4,8133,18.9
쇼핑,시장,26558,3.4,26555,100.0
쇼핑,전문매장/상가,26558,3.4,3,0.0
숙박,기타숙박,106957,13.5,324,0.3
숙박,모텔,106957,13.5,35237,32.9
숙박,콘도미니엄,106957,13.5,23299,21.8
숙박,펜션/민박,106957,13.5,9649,9.0
숙박,호스텔,106957,13.5,143,0.1
숙박,호텔,106957,13.5,24289,22.7
숙박,캠핑,106957,13.5,14016,13.1
역사관광,역사유물,144039,18.2,284,0.2
역사관광,역사유적지,144039,18.2,48437,33.6
역사관광,종교성지,144039,18.2,95318,66.2
음식,간이음식,271160,34.2,55652,20.5
음식,외국식,271160,34.2,11071,4.1
음식,음식점기타,271160,34.2,439,0.2
음식,전문음식,271160,34.2,26837,9.9
음식,한식,271160,34.2,117591,43.4
음식,카페/찻집,271160,34.2,59570,22.0
자연관광,자연경관(산),12267,1.5,2148,17.5
자연관광,자연경관(하천/해양),12267,1.5,618,5.0
자연관광,자연공원,12267,1.5,9501,77.5
체험관광,농/산/어촌체험,7204,0.9,1575,21.9
체험관광,웰니스관광,7204,0.9,5617,78.0
체험관광,공예체험,7204,0.9,12,0.2
