,기준연월,목적지 유형,전체 검색량,유형 소분류명,네비게이션 목적지 검색 수,네비게이션 목적지 소분류 검색 수,방문자수
0,202304,숙박,6015,기타숙박,106957,324,679702
1,202304,숙박,6015,모텔,106957,35237,679702
2,202304,숙박,6015,콘도미니엄,106957,23299,679702
3,202304,숙박,6015,펜션/민박,106957,9649,679702
4,202304,숙박,6015,호스텔,106957,143,679702
5,202304,숙박,6015,호텔,106957,24289,679702
6,202304,숙박,6015,캠핑,106957,14016,679702
7,202304,음식,13882,간이음식,271160,55652,679702
8,202304,음식,13882,외국식,271160,11071,679702
9,202304,음식,13882,음식점기타,271160,439,679702
10,202304,음식,13882,전문음식,271160,26837,679702
11,202304,음식,13882,한식,271160,117591,679702
12,202304,음식,13882,카페/찻집,271160,59570,679702
13,202304,기타관광,8837,교통시설,175267,166767,679702
14,202304,기타관광,8837,기타관광,175267,8500,679702
15,202304,쇼핑,1202,시장,26558,26555,679702
16,202304,쇼핑,1202,전문매장/상가,26558,3,679702
17,202304,문화관광,1705,도시/지역문화관광,43059,59,679702
18,202304,문화관광,1705,도시공원,43059,6512,679702
19,202304,문화관광,1705,복합관광시설,43059,14,679702
20,202304,문화관광,1705,테마공원,43059,13103,679702
21,202304,문화관광,1705,기타문화관광지,43059,6425,679702
22,202304,문화관광,1705,레저스포츠시설,43059,482,679702
23,202304,문화관광,1705,공연시설,43059,8331,679702
24,202304,문화관광,1705,전시시설,43059,8133,679702
25,202304,역사관광,7332,역사유물,144039,284,679702
26,202304,역사관광,7332,역사유적지,144039,48437,679702
27,202304,역사관광,7332,종교성지,144039,95318,679702
28,202304,자연관광,61,자연경관(산),12267,2148,679702
29,202304,자연관광,61,자연경관(하천/해양),12267,618,679702
30,202304,자연관광,61,자연공원,12267,9501,679702
31,202304,체험관광,419,농/산/어촌체험,7204,1575,679702
32,202304,체험관광,419,웰니스관광,7204,5617,679702
33,202304,체험관광,419,공예체험,7204,12,679702
34,202304,레저스포츠,338,기타레저스포츠,5936,1932,679702
35,202304,레저스포츠,338,수상레저스포츠,5936,146,679702
36,202304,레저스포츠,338,육상레저스포츠,5936,3858,679702
37,202306,숙박,5727,기타숙박,106957,324,663334
38,202306,숙박,5727,모텔,106957,35237,663334
39,202306,숙박,5727,콘도미니엄,106957,23299,663334
40,202306,숙박,5727,펜션/민박,106957,9649,663334
41,202306,숙박,5727,호스텔,106957,143,663334
42,202306,숙박,5727,호텔,106957,24289,663334
43,202306,숙박,5727,캠핑,106957,14016,663334
44,202306,음식,14591,간이음식,271160,55652,663334
45,202306,음식,14591,외국식,271160,11071,663334
46,202306,음식,14591,음식점기타,271160,439,663334
47,202306,음식,14591,전문음식,271160,26837,663334
48,202306,음식,14591,한식,271160,117591,663334
49,202306,음식,14591,카페/찻집,271160,59570,663334
50,202306,기타관광,8615,교통시설,175267,166767,663334
51,202306,기타관광,8615,기타관광,175267,8500,663334
52,202306,쇼핑,1110,시장,26558,26555,663334
53,202306,쇼핑,1110,전문매장/상가,26558,3,663334
54,202306,문화관광,1830,도시/지역문화관광,43059,59,663334
55,202306,문화관광,1830,도시공원,43059,6512,663334
56,202306,문화관광,1830,복합관광시설,43059,14,663334
57,202306,문화관광,1830,테마공원,43059,13103,663334
58,202306,문화관광,1830,기타문화관광지,43059,6425,663334
59,202306,문화관광,1830,레저스포츠시설,43059,482,663334
60,202306,문화관광,1830,공연시설,43059,8331,663334
61,202306,문화관광,1830,전시시설,43059,8133,663334
62,202306,역사관광,7434,역사유물,144039,284,663334
63,202306,역사관광,7434,역사유적지,144039,48437,663334
64,202306,역사관광,7434,종교성지,144039,95318,663334
65,202306,자연관광,235,자연경관(산),12267,2148,663334
66,202306,자연관광,235,자연경관(하천/해양),12267,618,663334
