"특성별(1)",특성별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),통근/통학 여부 (%),통근/통학 여부 (%),주 이용 교통수단 (%),주 이용 교통수단 (%),주 이용 교통수단 (%),주 이용 교통수단 (%),주 이용 교통수단 (%),주 이용 교통수단 (%),주 이용 교통수단 (%),주 이용 교통수단 (%),주 이용 교통수단 (%),주 이용 교통수단 (%),주 이용 교통수단 (%),평균 소요시간,평균 소요시간,평균 소요시간,평균 소요시간,평균 소요시간
"특성별(1)",특성별(2),예,아니오,도보,자전거,오토바이,지하철,철도,시내버스,시외/고속버스,통근/통학용버스,택시,승용차,기타,10분 이하 (%),20분 이하 (%),30분 이하 (%),30분 초과 (%),평균 (분)
"전체",소계,65.5,34.5,16.3,0.8,0.8,0.4,0.0,8.6,0.2,2.8,1.1,68.1,1.0,33.4,44.2,16.8,5.6,18.98
"성별",남자,76.3,23.7,12.3,1.0,0.7,0.3,0.0,5.1,0.4,3.6,0.5,75.3,0.8,33.7,44.6,15.6,6.1,18.91
"성별",여자,55.0,45.0,21.8,0.5,0.8,0.4,0.0,13.3,0.0,1.9,1.9,58.2,1.2,33.0,43.6,18.5,4.9,19.06
"연령별",29세이하,78.1,21.9,22.7,0.0,0.0,0.0,0.0,32.5,1.3,7.5,0.9,35.1,0.0,22.9,52.9,17.1,7.1,19.80
"연령별",30 ~ 39세,73.7,26.3,6.1,0.0,0.0,2.0,0.0,4.4,0.0,0.0,0.0,86.1,1.4,36.8,46.1,14.0,3.1,17.07
"연령별",40 ~ 49세,76.7,23.3,11.2,0.8,0.0,0.7,0.0,0.7,0.0,1.6,2.0,83.1,0.0,32.0,41.7,17.1,9.1,22.33
"연령별",50 ~ 59세,80.4,19.6,12.5,1.6,0.0,0.0,0.0,1.9,0.0,1.7,0.0,81.0,1.4,36.5,42.4,15.1,5.9,18.40
"연령별",60 ~ 69세,64.9,35.1,17.2,1.2,2.6,0.0,0.0,4.0,0.0,2.0,0.4,71.2,1.5,35.9,43.1,18.4,2.6,17.86
"연령별",70세이상,35.2,64.8,27.9,0.6,1.9,0.5,0.0,9.0,0.0,3.6,4.3,50.4,1.7,37.5,38.9,18.6,5.0,17.67
"경제활동 상태별",취업자,100.0,0.0,15.2,1.0,0.8,0.4,0.0,3.3,0.0,1.8,1.0,75.4,1.1,36.3,42.0,16.3,5.3,18.62
"경제활동 상태별",비경제활동,22.6,77.4,22.3,0.0,0.7,0.0,0.0,37.7,1.4,8.6,1.5,27.6,0.0,17.1,56.3,19.5,7.1,20.93
"소득수준별",100만원 미만,38.8,61.2,43.9,2.2,0.0,0.0,0.0,25.0,2.0,4.9,0.6,21.4,0.0,27.7,43.6,26.7,2.0,19.39
"소득수준별",100~200만원 미만,48.9,51.1,29.0,0.7,3.3,0.0,0.0,6.0,0.0,3.0,2.3,50.9,4.8,48.6,31.8,17.0,2.6,14.92
"소득수준별",200~300만원 미만,74.3,25.7,15.1,1.2,1.4,0.0,0.0,4.5,0.0,1.1,1.3,75.3,0.0,40.0,40.2,14.1,5.7,17.32
"소득수준별",300~400만원 미만,75.5,24.5,10.5,0.6,0.0,0.3,0.0,9.2,0.0,2.4,1.3,74.5,1.0,29.8,48.2,15.9,6.1,18.76
"소득수준별",400~500만원 미만,74.2,25.8,12.3,0.9,0.8,1.4,0.0,5.5,0.0,2.5,1.1,74.5,0.9,33.6,46.4,12.6,7.4,20.91
"소득수준별",500만원 이상,79.6,20.4,6.5,0.0,0.0,0.4,0.0,7.4,0.0,3.9,0.4,80.8,0.5,26.3,49.0,17.8,6.8,20.97
"교육정도별",초졸이하,42.7,57.3,26.7,0.5,3.6,0.5,0.0,9.8,0.0,2.4,3.3,49.8,3.4,38.2,43.0,16.9,1.9,17.09
"교육정도별",중졸,66.3,33.7,11.1,1.5,1.2,0.0,0.0,23.8,0.0,6.0,0.9,55.1,0.4,24.1,52.9,23.0,0.0,17.69
"교육정도별",고졸,73.5,26.5,21.0,1.3,0.3,0.0,0.0,6.7,0.6,3.3,1.0,65.5,0.3,34.8,44.4,12.7,8.1,18.75
"교육정도별",대졸이상,71.8,28.2,9.2,0.0,0.0,0.9,0.0,3.0,0.0,1.0,0.3,84.5,1.0,34.3,40.4,18.5,6.9,20.61
